Date,Open,High,Low,Close
05/08/2023,"2.0142","2.0142","1.9868","1.9887"
05/05/2023,"2.0016","2.0094","1.9954","2.0078"
05/04/2023,"2.0170","2.0258","1.9992","2.0022"
05/03/2023,"2.0063","2.0175","1.9979","2.0172"
05/02/2023,"2.0251","2.0268","2.0058","2.0082"
05/01/2023,"2.0332","2.0362","2.0235","2.0264"
04/28/2023,"2.0330","2.0372","2.0270","2.0332"
04/27/2023,"2.0381","2.0396","2.0252","2.0334"
04/26/2023,"2.0217","2.0399","2.0136","2.0382"
04/25/2023,"2.0298","2.0298","2.0146","2.0218"
04/24/2023,"2.0233","2.0295","2.0224","2.0245"
04/21/2023,"2.0147","2.0292","2.0126","2.0256"
04/20/2023,"2.0061","2.0210","2.0035","2.0142"
04/19/2023,"2.0013","2.0121","1.9984","2.0060"
04/18/2023,"2.0024","2.0044","1.9981","2.0016"
04/17/2023,"1.9992","2.0102","1.9969","2.0026"
04/14/2023,"1.9892","2.0026","1.9845","2.0002"
04/13/2023,"2.0085","2.0132","1.9842","1.9883"
04/12/2023,"2.0065","2.0108","1.9966","2.0092"
04/11/2023,"1.9913","2.0095","1.9883","2.0069"
04/10/2023,"1.9878","1.9950","1.9826","1.9915"
04/07/2023,"1.9958","1.9958","1.9815","1.9826"
04/06/2023,"1.9720","1.9933","1.9706","1.9923"
04/05/2023,"1.9826","1.9833","1.9623","1.9723"
04/04/2023,"1.9717","1.9881","1.9672","1.9810"
04/03/2023,"1.9727","1.9787","1.9676","1.9716"
03/31/2023,"1.9788","1.9801","1.9693","1.9712"
03/30/2023,"1.9751","1.9840","1.9740","1.9780"
03/29/2023,"1.9733","1.9831","1.9654","1.9785"
03/28/2023,"1.9826","1.9839","1.9728","1.9739"
03/27/2023,"1.9723","1.9859","1.9700","1.9831"
03/24/2023,"1.9658","1.9740","1.9640","1.9724"
03/23/2023,"1.9723","1.9749","1.9574","1.9661"
03/22/2023,"1.9727","1.9799","1.9621","1.9717"
03/21/2023,"1.9651","1.9819","1.9595","1.9724"
03/20/2023,"1.9409","1.9665","1.9403","1.9661"
03/17/2023,"1.9535","1.9578","1.9399","1.9434"
03/16/2023,"1.9492","1.9662","1.9470","1.9539"
03/15/2023,"1.9501","1.9591","1.9433","1.9483"
03/14/2023,"1.9584","1.9634","1.9485","1.9498"
03/13/2023,"1.9631","1.9691","1.9420","1.9588"
03/10/2023,"1.9549","1.9663","1.9508","1.9615"
03/09/2023,"1.9383","1.9551","1.9346","1.9546"
03/08/2023,"1.9358","1.9434","1.9302","1.9394"
03/07/2023,"1.9420","1.9435","1.9322","1.9363"
03/06/2023,"1.9342","1.9463","1.9320","1.9408"
03/03/2023,"1.9220","1.9363","1.9180","1.9360"
03/02/2023,"1.9187","1.9286","1.9179","1.9212"
03/01/2023,"1.9445","1.9518","1.9179","1.9220"
02/28/2023,"1.9556","1.9679","1.9426","1.9439"
02/27/2023,"1.9420","1.9564","1.9363","1.9557"
02/24/2023,"1.9298","1.9423","1.9260","1.9366"
02/23/2023,"1.9370","1.9387","1.9278","1.9290"
02/22/2023,"1.9465","1.9528","1.9342","1.9368"
02/21/2023,"1.9253","1.9514","1.9218","1.9495"
02/20/2023,"1.9286","1.9323","1.9217","1.9255"
02/17/2023,"1.9156","1.9305","1.9138","1.9281"
02/16/2023,"1.9159","1.9215","1.9095","1.9159"
02/15/2023,"1.9208","1.9308","1.9113","1.9155"
02/14/2023,"1.9099","1.9307","1.9077","1.9211"
02/13/2023,"1.9125","1.9138","1.8991","1.9095"
02/10/2023,"1.9174","1.9194","1.9098","1.9107"
02/09/2023,"1.9138","1.9172","1.9011","1.9161"
02/08/2023,"1.9042","1.9168","1.9017","1.9136"
02/07/2023,"1.9061","1.9101","1.8963","1.9045"
02/06/2023,"1.9051","1.9187","1.9029","1.9064"
02/03/2023,"1.8877","1.9065","1.8833","1.9056"
02/02/2023,"1.9022","1.9048","1.8840","1.8875"
02/01/2023,"1.9131","1.9180","1.9010","1.9018"
01/31/2023,"1.9090","1.9205","1.9007","1.9132"
01/30/2023,"1.9077","1.9130","1.9050","1.9094"
01/27/2023,"1.9117","1.9140","1.9043","1.9078"
01/26/2023,"1.9139","1.9163","1.9062","1.9119"
01/25/2023,"1.8962","1.9156","1.8945","1.9146"
01/24/2023,"1.9068","1.9096","1.8914","1.8967"
01/23/2023,"1.9142","1.9226","1.9039","1.9074"
01/20/2023,"1.9367","1.9387","1.9143","1.9144"
01/19/2023,"1.9166","1.9406","1.9136","1.9378"
01/18/2023,"1.9124","1.9266","1.9002","1.9157"
01/17/2023,"1.9103","1.9171","1.9031","1.9117"
01/16/2023,"1.9150","1.9190","1.9059","1.9113"
01/13/2023,"1.9096","1.9213","1.9060","1.9158"
01/12/2023,"1.9086","1.9182","1.9057","1.9099"
01/11/2023,"1.9074","1.9144","1.8986","1.9083"
01/10/2023,"1.9151","1.9156","1.9046","1.9069"
01/09/2023,"1.9038","1.9133","1.8966","1.9126"
01/06/2023,"1.9114","1.9157","1.9011","1.9011"
01/05/2023,"1.9153","1.9223","1.9042","1.9113"
01/04/2023,"1.9146","1.9191","1.8994","1.9159"
01/03/2023,"1.9069","1.9401","1.8953","1.9143"
01/02/2023,"1.9055","1.9141","1.8979","1.9074"
12/30/2022,"1.9022","1.9080","1.8937","1.9052"
12/29/2022,"1.9043","1.9155","1.8954","1.8999"
12/28/2022,"1.9171","1.9206","1.9015","1.9051"
12/27/2022,"1.9166","1.9283","1.9079","1.9168"
12/26/2022,"1.9144","1.9354","1.9083","1.9162"
12/23/2022,"1.9354","1.9354","1.9074","1.9148"
12/22/2022,"1.9187","1.9284","1.9133","1.9261"
12/21/2022,"1.9191","1.9326","1.9158","1.9195"
12/20/2022,"1.9083","1.9243","1.9078","1.9195"
12/19/2022,"1.9067","1.9146","1.9014","1.9081"
12/16/2022,"1.9191","1.9293","1.9025","1.9030"
12/15/2022,"1.9241","1.9395","1.9184","1.9204"
12/14/2022,"1.9129","1.9320","1.9118","1.9244"
12/13/2022,"1.9223","1.9362","1.9068","1.9132"
12/12/2022,"1.9131","1.9284","1.9103","1.9228"
12/09/2022,"1.9183","1.9259","1.9073","1.9118"
12/08/2022,"1.9217","1.9275","1.9147","1.9185"
12/07/2022,"1.9201","1.9250","1.9115","1.9208"
12/06/2022,"1.9302","1.9359","1.9193","1.9202"
12/05/2022,"1.9177","1.9311","1.9118","1.9299"
12/02/2022,"1.9235","1.9283","1.9125","1.9156"
12/01/2022,"1.9155","1.9274","1.9091","1.9237"
11/30/2022,"1.9245","1.9303","1.9100","1.9149"
11/29/2022,"1.9406","1.9417","1.9212","1.9276"
11/28/2022,"1.9355","1.9458","1.9355","1.9401"
11/25/2022,"1.9339","1.9421","1.9310","1.9347"
11/24/2022,"1.9308","1.9375","1.9274","1.9342"
11/23/2022,"1.9317","1.9388","1.9206","1.9305"
11/22/2022,"1.9382","1.9403","1.9264","1.9316"
11/21/2022,"1.9408","1.9408","1.9266","1.9380"
11/18/2022,"1.9362","1.9472","1.9218","1.9327"
11/17/2022,"1.9376","1.9472","1.9331","1.9360"
11/16/2022,"1.9258","1.9391","1.9187","1.9377"
11/15/2022,"1.9291","1.9451","1.9196","1.9271"
11/14/2022,"1.9304","1.9418","1.9198","1.9287"
11/11/2022,"1.9447","1.9494","1.9267","1.9368"
11/10/2022,"1.9303","1.9660","1.9293","1.9441"
11/09/2022,"1.9380","1.9455","1.9257","1.9300"
11/08/2022,"1.9387","1.9431","1.9279","1.9376"
11/07/2022,"1.9191","1.9447","1.9096","1.9382"
11/04/2022,"1.9324","1.9418","1.9129","1.9186"
11/03/2022,"1.9579","1.9645","1.9295","1.9325"
11/02/2022,"1.9656","1.9694","1.9463","1.9574"
11/01/2022,"1.9726","1.9759","1.9568","1.9658"
10/31/2022,"1.9993","2.0009","1.9706","1.9721"
10/28/2022,"1.9837","2.0024","1.9720","1.9979"
10/27/2022,"1.9938","1.9984","1.9766","1.9835"
10/26/2022,"1.9953","1.9998","1.9858","1.9931"
10/25/2022,"1.9815","1.9977","1.9729","1.9937"
10/24/2022,"1.9695","1.9975","1.9610","1.9802"
10/21/2022,"1.9792","1.9817","1.9561","1.9618"
10/20/2022,"1.9785","1.9913","1.9651","1.9790"
10/19/2022,"1.9916","1.9942","1.9763","1.9781"
10/18/2022,"2.0172","2.0235","1.9808","1.9924"
10/17/2022,"2.0086","2.0323","2.0086","2.0160"
10/14/2022,"2.0094","2.0170","1.9870","2.0102"
10/13/2022,"1.9791","2.0271","1.9733","2.0087"
10/12/2022,"1.9642","1.9820","1.9579","1.9786"
10/11/2022,"1.9858","1.9924","1.9620","1.9645"
10/10/2022,"1.9786","1.9907","1.9720","1.9862"
10/07/2022,"1.9723","1.9844","1.9586","1.9781"
10/06/2022,"1.9742","1.9808","1.9553","1.9728"
10/05/2022,"2.0079","2.0181","1.9706","1.9744"
10/04/2022,"1.9787","2.0054","1.9750","2.0028"
10/03/2022,"1.9980","1.9980","1.9698","1.9785"
09/30/2022,"1.9415","1.9964","1.9383","1.9959"
09/29/2022,"1.9005","1.9451","1.8930","1.9425"
09/28/2022,"1.9035","1.9269","1.8785","1.9010"
09/27/2022,"1.8959","1.9072","1.8869","1.9045"
09/26/2022,"1.8886","1.9080","1.8168","1.8964"
09/23/2022,"1.9244","1.9316","1.8872","1.8886"
09/22/2022,"1.9253","1.9384","1.9170","1.9251"
09/21/2022,"1.9300","1.9327","1.9190","1.9257"
09/20/2022,"1.9153","1.9381","1.9153","1.9305"
09/19/2022,"1.9027","1.9220","1.9027","1.9180"
09/16/2022,"1.9225","1.9246","1.9051","1.9060"
09/15/2022,"1.9226","1.9245","1.9142","1.9222"
09/14/2022,"1.9165","1.9305","1.9118","1.9222"
