Date,Open,High,Low,Close
05/06/2022,"1.2177","1.2206","1.2108","1.2203"
05/05/2022,"1.2282","1.2305","1.2116","1.2173"
05/04/2022,"1.2220","1.2295","1.2209","1.2283"
05/03/2022,"1.2216","1.2278","1.2176","1.2236"
05/02/2022,"1.2221","1.2257","1.2191","1.2213"
04/29/2022,"1.2106","1.2247","1.2096","1.2242"
04/28/2022,"1.2161","1.2186","1.2081","1.2111"
04/27/2022,"1.2102","1.2191","1.2078","1.2157"
04/26/2022,"1.2221","1.2242","1.2100","1.2104"
04/25/2022,"1.2289","1.2306","1.2157","1.2226"
04/22/2022,"1.2420","1.2434","1.2268","1.2292"
04/21/2022,"1.2396","1.2448","1.2364","1.2423"
04/20/2022,"1.2378","1.2413","1.2340","1.2394"
04/19/2022,"1.2297","1.2382","1.2271","1.2380"
04/18/2022,"1.2319","1.2324","1.2270","1.2295"
04/15/2022,"1.2325","1.2343","1.2296","1.2317"
04/14/2022,"1.2257","1.2337","1.2237","1.2326"
04/13/2022,"1.2130","1.2265","1.2101","1.2261"
04/12/2022,"1.2130","1.2159","1.2115","1.2128"
04/11/2022,"1.2150","1.2190","1.2121","1.2132"
04/08/2022,"1.2210","1.2222","1.2152","1.2177"
04/07/2022,"1.2197","1.2218","1.2176","1.2213"
04/06/2022,"1.2158","1.2229","1.2144","1.2196"
04/05/2022,"1.2149","1.2193","1.2131","1.2152"
04/04/2022,"1.2139","1.2169","1.2108","1.2148"
04/01/2022,"1.2119","1.2156","1.2095","1.2138"
03/31/2022,"1.2124","1.2158","1.2097","1.2127"
03/30/2022,"1.2194","1.2204","1.2111","1.2129"
03/29/2022,"1.2233","1.2293","1.2177","1.2189"
03/28/2022,"1.2279","1.2334","1.2220","1.2237"
03/25/2022,"1.2266","1.2289","1.2198","1.2267"
03/24/2022,"1.2290","1.2327","1.2257","1.2268"
03/23/2022,"1.2376","1.2420","1.2286","1.2289"
03/22/2022,"1.2296","1.2376","1.2287","1.2373"
03/21/2022,"1.2286","1.2301","1.2217","1.2293"
03/18/2022,"1.2321","1.2341","1.2266","1.2278"
03/17/2022,"1.2368","1.2416","1.2291","1.2320"
03/16/2022,"1.2276","1.2371","1.2259","1.2370"
03/15/2022,"1.2203","1.2319","1.2196","1.2277"
03/14/2022,"1.2181","1.2231","1.2153","1.2204"
03/11/2022,"1.2156","1.2226","1.2156","1.2190"
03/10/2022,"1.2214","1.2263","1.2168","1.2170"
03/09/2022,"1.2171","1.2234","1.2161","1.2217"
03/08/2022,"1.2129","1.2207","1.2116","1.2177"
03/07/2022,"1.2132","1.2211","1.2125","1.2126"
03/04/2022,"1.2243","1.2272","1.2127","1.2132"
03/03/2022,"1.2338","1.2348","1.2243","1.2244"
03/02/2022,"1.2241","1.2341","1.2196","1.2337"
03/01/2022,"1.2300","1.2336","1.2227","1.2242"
02/28/2022,"1.2336","1.2406","1.2291","1.2299"
02/25/2022,"1.2386","1.2454","1.2365","1.2414"
02/24/2022,"1.2438","1.2443","1.2302","1.2381"
02/23/2022,"1.2523","1.2548","1.2429","1.2439"
02/22/2022,"1.2458","1.2533","1.2427","1.2519"
02/21/2022,"1.2521","1.2543","1.2452","1.2457"
02/18/2022,"1.2530","1.2575","1.2499","1.2525"
02/17/2022,"1.2532","1.2557","1.2504","1.2529"
02/16/2022,"1.2528","1.2562","1.2513","1.2537"
02/15/2022,"1.2506","1.2561","1.2487","1.2531"
02/14/2022,"1.2543","1.2561","1.2469","1.2508"
02/11/2022,"1.2547","1.2600","1.2520","1.2554"
