Date,Open,High,Low,Close
05/08/2024,"1.2508","1.2519","1.2467","1.2497"
05/07/2024,"1.2570","1.2571","1.2500","1.2510"
05/06/2024,"1.2549","1.2596","1.2538","1.2562"
05/03/2024,"1.2529","1.2634","1.2525","1.2547"
05/02/2024,"1.2527","1.2546","1.2472","1.2535"
05/01/2024,"1.2493","1.2551","1.2466","1.2528"
04/30/2024,"1.2564","1.2567","1.2489","1.2491"
04/29/2024,"1.2488","1.2570","1.2479","1.2563"
04/26/2024,"1.2516","1.2542","1.2449","1.2495"
04/25/2024,"1.2467","1.2530","1.2449","1.2512"
04/24/2024,"1.2448","1.2471","1.2422","1.2465"
04/23/2024,"1.2347","1.2460","1.2331","1.2449"
04/22/2024,"1.2369","1.2394","1.2299","1.2349"
04/19/2024,"1.2435","1.2469","1.2366","1.2371"
04/18/2024,"1.2455","1.2485","1.2433","1.2436"
04/17/2024,"1.2427","1.2482","1.2417","1.2454"
04/16/2024,"1.2444","1.2472","1.2405","1.2425"
04/15/2024,"1.2457","1.2500","1.2435","1.2447"
04/12/2024,"1.2555","1.2560","1.2426","1.2459"
04/11/2024,"1.2542","1.2579","1.2510","1.2552"
04/10/2024,"1.2684","1.2709","1.2519","1.2540"
04/09/2024,"1.2652","1.2710","1.2648","1.2679"
04/08/2024,"1.2638","1.2665","1.2613","1.2656"
04/05/2024,"1.2641","1.2649","1.2574","1.2638"
04/04/2024,"1.2653","1.2683","1.2635","1.2642"
04/03/2024,"1.2579","1.2657","1.2563","1.2652"
04/02/2024,"1.2552","1.2579","1.2539","1.2577"
04/01/2024,"1.2626","1.2644","1.2539","1.2551"
03/29/2024,"1.2623","1.2647","1.2610","1.2626"
03/28/2024,"1.2640","1.2655","1.2585","1.2625"
03/27/2024,"1.2627","1.2642","1.2605","1.2642"
03/26/2024,"1.2638","1.2669","1.2622","1.2629"
03/25/2024,"1.2601","1.2653","1.2591","1.2635"
03/22/2024,"1.2659","1.2676","1.2575","1.2602"
03/21/2024,"1.2786","1.2804","1.2649","1.2656"
03/20/2024,"1.2722","1.2788","1.2684","1.2785"
03/19/2024,"1.2731","1.2734","1.2667","1.2723"
03/18/2024,"1.2731","1.2748","1.2718","1.2728"
03/15/2024,"1.2754","1.2760","1.2725","1.2733"
03/14/2024,"1.2798","1.2824","1.2731","1.2752"
03/13/2024,"1.2789","1.2812","1.2774","1.2797"
03/12/2024,"1.2810","1.2824","1.2747","1.2792"
03/11/2024,"1.2858","1.2865","1.2794","1.2813"
03/08/2024,"1.2810","1.2894","1.2800","1.2859"
