Date,Open,High,Low,Close
05/08/2024,"2.0841","2.0874","2.0806","2.0818"
05/07/2024,"2.0905","2.0916","2.0831","2.0843"
05/06/2024,"2.0870","2.0927","2.0832","2.0898"
05/03/2024,"2.0960","2.1045","2.0827","2.0873"
05/02/2024,"2.1130","2.1173","2.1003","2.1025"
05/01/2024,"2.1218","2.1265","2.1107","2.1123"
04/30/2024,"2.1017","2.1223","2.0996","2.1214"
04/29/2024,"2.1020","2.1055","2.0942","2.1019"
04/26/2024,"2.1035","2.1059","2.0950","2.1032"
04/25/2024,"2.0979","2.1061","2.0952","2.1039"
04/24/2024,"2.0978","2.1010","2.0920","2.0999"
04/23/2024,"2.0863","2.0995","2.0840","2.0984"
04/22/2024,"2.1007","2.1031","2.0833","2.0856"
04/19/2024,"2.1074","2.1175","2.0994","2.1011"
04/18/2024,"2.1038","2.1089","2.0957","2.1069"
04/17/2024,"2.1142","2.1182","2.1026","2.1046"
04/16/2024,"2.1077","2.1207","2.1066","2.1131"
04/15/2024,"2.0961","2.1099","2.0913","2.1075"
04/12/2024,"2.0918","2.0984","2.0890","2.0916"
04/11/2024,"2.0994","2.0994","2.0901","2.0934"
04/10/2024,"2.0916","2.1004","2.0857","2.0991"
04/09/2024,"2.0985","2.0990","2.0900","2.0921"
04/08/2024,"2.1014","2.1041","2.0941","2.0981"
04/05/2024,"2.0981","2.1028","2.0965","2.1011"
04/04/2024,"2.1057","2.1078","2.0943","2.0986"
04/03/2024,"2.1060","2.1119","2.1040","2.1055"
04/02/2024,"2.1080","2.1115","2.1050","2.1067"
04/01/2024,"2.1160","2.1160","2.1076","2.1082"
03/29/2024,"2.1139","2.1159","2.1079","2.1138"
03/28/2024,"2.1056","2.1178","2.1029","2.1135"
03/27/2024,"2.1033","2.1070","2.1007","2.1052"
03/26/2024,"2.1053","2.1076","2.0988","2.1038"
03/25/2024,"2.1016","2.1073","2.0965","2.1049"
03/22/2024,"2.0946","2.1038","2.0924","2.0939"
03/21/2024,"2.1023","2.1090","2.0931","2.0941"
03/20/2024,"2.1018","2.1079","2.0994","2.1028"
03/19/2024,"2.0915","2.1038","2.0903","2.1019"
03/18/2024,"2.0922","2.0943","2.0876","2.0922"
03/15/2024,"2.0802","2.0939","2.0792","2.0925"
03/14/2024,"2.0783","2.0825","2.0727","2.0801"
03/13/2024,"2.0795","2.0822","2.0731","2.0788"
03/12/2024,"2.0770","2.0812","2.0702","2.0800"
03/11/2024,"2.0823","2.0838","2.0749","2.0767"
03/08/2024,"2.0748","2.0828","2.0713","2.0818"
03/07/2024,"2.0773","2.0789","2.0664","2.0747"
03/06/2024,"2.0860","2.0916","2.0762","2.0770"
03/05/2024,"2.0812","2.0889","2.0801","2.0874"
03/04/2024,"2.0729","2.0840","2.0704","2.0829"
03/01/2024,"2.0741","2.0769","2.0676","2.0726"
02/29/2024,"2.0756","2.0832","2.0724","2.0743"
02/28/2024,"2.0551","2.0809","2.0528","2.0761"
02/27/2024,"2.0549","2.0606","2.0536","2.0558"
02/26/2024,"2.0453","2.0571","2.0442","2.0552"
02/23/2024,"2.0439","2.0489","2.0403","2.0450"
02/22/2024,"2.0445","2.0480","2.0372","2.0438"
02/21/2024,"2.0487","2.0499","2.0373","2.0448"
02/20/2024,"2.0478","2.0527","2.0396","2.0474"
