Date,Open,High,Low,Close
05/06/2022,"1.2838","1.2914","1.2815","1.2897"
05/05/2022,"1.2742","1.2870","1.2713","1.2835"
05/04/2022,"1.2842","1.2853","1.2732","1.2739"
05/03/2022,"1.2881","1.2895","1.2826","1.2841"
05/02/2022,"1.2844","1.2916","1.2841","1.2880"
04/29/2022,"1.2809","1.2864","1.2719","1.2859"
04/28/2022,"1.2820","1.2882","1.2792","1.2810"
04/27/2022,"1.2826","1.2855","1.2778","1.2821"
04/26/2022,"1.2734","1.2830","1.2685","1.2827"
04/25/2022,"1.2726","1.2779","1.2706","1.2737"
04/22/2022,"1.2581","1.2729","1.2569","1.2713"
04/21/2022,"1.2498","1.2592","1.2460","1.2582"
04/20/2022,"1.2621","1.2625","1.2473","1.2497"
04/19/2022,"1.2624","1.2648","1.2569","1.2622"
04/18/2022,"1.2613","1.2646","1.2604","1.2613"
04/15/2022,"1.2600","1.2627","1.2592","1.2613"
04/14/2022,"1.2569","1.2643","1.2524","1.2603"
04/13/2022,"1.2645","1.2678","1.2555","1.2565"
04/12/2022,"1.2631","1.2663","1.2583","1.2643"
04/11/2022,"1.2570","1.2642","1.2566","1.2634"
04/08/2022,"1.2587","1.2620","1.2565","1.2573"
04/07/2022,"1.2544","1.2613","1.2528","1.2592"
04/06/2022,"1.2489","1.2559","1.2481","1.2545"
04/05/2022,"1.2487","1.2499","1.2403","1.2488"
04/04/2022,"1.2521","1.2571","1.2469","1.2490"
04/01/2022,"1.2506","1.2542","1.2481","1.2519"
03/31/2022,"1.2481","1.2536","1.2465","1.2507"
03/30/2022,"1.2499","1.2511","1.2430","1.2480"
03/29/2022,"1.2518","1.2532","1.2472","1.2503"
03/28/2022,"1.2485","1.2594","1.2474","1.2519"
03/25/2022,"1.2527","1.2555","1.2465","1.2477"
03/24/2022,"1.2564","1.2588","1.2510","1.2528"
03/23/2022,"1.2570","1.2607","1.2544","1.2563"
03/22/2022,"1.2593","1.2623","1.2568","1.2571"
03/21/2022,"1.2610","1.2639","1.2566","1.2594"
03/18/2022,"1.2630","1.2648","1.2591","1.2606"
03/17/2022,"1.2678","1.2700","1.2613","1.2628"
03/16/2022,"1.2770","1.2777","1.2676","1.2679"
03/15/2022,"1.2824","1.2873","1.2762","1.2767"
03/14/2022,"1.2763","1.2829","1.2729","1.2826"
03/11/2022,"1.2766","1.2799","1.2694","1.2745"
03/10/2022,"1.2809","1.2844","1.2751","1.2769"
03/09/2022,"1.2887","1.2896","1.2805","1.2807"
03/08/2022,"1.2822","1.2902","1.2797","1.2890"
03/07/2022,"1.2740","1.2823","1.2686","1.2821"
03/04/2022,"1.2681","1.2793","1.2670","1.2722"
03/03/2022,"1.2632","1.2695","1.2588","1.2683"
03/02/2022,"1.2742","1.2748","1.2629","1.2633"
03/01/2022,"1.2676","1.2752","1.2654","1.2744"
02/28/2022,"1.2791","1.2812","1.2661","1.2677"
02/25/2022,"1.2814","1.2822","1.2697","1.2708"
02/24/2022,"1.2736","1.2879","1.2729","1.2813"
02/23/2022,"1.2770","1.2777","1.2683","1.2738"
02/22/2022,"1.2753","1.2785","1.2719","1.2771"
02/21/2022,"1.2749","1.2763","1.2722","1.2754"
02/18/2022,"1.2708","1.2762","1.2674","1.2753"
02/17/2022,"1.2689","1.2735","1.2678","1.2709"
02/16/2022,"1.2718","1.2736","1.2665","1.2690"
02/15/2022,"1.2731","1.2776","1.2702","1.2719"
02/14/2022,"1.2737","1.2785","1.2720","1.2730"
02/11/2022,"1.2720","1.2755","1.2670","1.2735"
02/10/2022,"1.2672","1.2730","1.2637","1.2719"
02/09/2022,"1.2713","1.2717","1.2666","1.2674"
02/08/2022,"1.2668","1.2722","1.2665","1.2712"
02/07/2022,"1.2750","1.2813","1.2658","1.2669"
02/04/2022,"1.2680","1.2789","1.2663","1.2741"
02/03/2022,"1.2671","1.2717","1.2659","1.2679"
02/02/2022,"1.2687","1.2706","1.2651","1.2668"
02/01/2022,"1.2709","1.2727","1.2656","1.2689"
01/31/2022,"1.2773","1.2779","1.2683","1.2708"
01/28/2022,"1.2743","1.2798","1.2713","1.2771"
01/27/2022,"1.2669","1.2750","1.2653","1.2742"
01/26/2022,"1.2623","1.2689","1.2561","1.2668"
01/25/2022,"1.2638","1.2670","1.2599","1.2615"
01/24/2022,"1.2584","1.2703","1.2555","1.2639"
01/21/2022,"1.2505","1.2591","1.2499","1.2580"
01/20/2022,"1.2517","1.2518","1.2455","1.2504"
01/19/2022,"1.2516","1.2526","1.2451","1.2515"
01/18/2022,"1.2518","1.2565","1.2486","1.2514"
01/17/2022,"1.2536","1.2560","1.2501","1.2516"
01/14/2022,"1.2521","1.2572","1.2472","1.2553"
01/13/2022,"1.2509","1.2523","1.2454","1.2520"
01/12/2022,"1.2574","1.2582","1.2496","1.2510"
01/11/2022,"1.2681","1.2685","1.2567","1.2575"
01/10/2022,"1.2641","1.2699","1.2610","1.2680"
01/07/2022,"1.2728","1.2735","1.2632","1.2644"
01/06/2022,"1.2757","1.2815","1.2707","1.2729"
01/05/2022,"1.2709","1.2768","1.2693","1.2758"
01/04/2022,"1.2745","1.2768","1.2668","1.2706"
01/03/2022,"1.2640","1.2780","1.2631","1.2747"
12/31/2021,"1.2743","1.2753","1.2622","1.2641"
12/30/2021,"1.2792","1.2814","1.2734","1.2740"
12/29/2021,"1.2829","1.2837","1.2789","1.2791"
12/28/2021,"1.2792","1.2834","1.2781","1.2826"
12/27/2021,"1.2813","1.2849","1.2779","1.2790"
12/24/2021,"1.2812","1.2835","1.2787","1.2812"
12/23/2021,"1.2838","1.2856","1.2798","1.2811"
12/22/2021,"1.2913","1.2926","1.2833","1.2836"
12/21/2021,"1.2944","1.2950","1.2913","1.2915"
12/20/2021,"1.2892","1.2965","1.2884","1.2943"
12/17/2021,"1.2777","1.2904","1.2773","1.2896"
12/16/2021,"1.2835","1.2859","1.2764","1.2776"
12/15/2021,"1.2863","1.2936","1.2831","1.2836"
12/14/2021,"1.2810","1.2868","1.2798","1.2864"
12/13/2021,"1.2731","1.2823","1.2706","1.2809"
12/10/2021,"1.2712","1.2738","1.2681","1.2727"
12/09/2021,"1.2653","1.2723","1.2650","1.2716"
12/08/2021,"1.2641","1.2667","1.2609","1.2656"
12/07/2021,"1.2757","1.2769","1.2636","1.2640"
12/06/2021,"1.2846","1.2855","1.2754","1.2755"
12/03/2021,"1.2809","1.2856","1.2744","1.2846"
12/02/2021,"1.2822","1.2839","1.2779","1.2807"
12/01/2021,"1.2780","1.2831","1.2714","1.2819"
11/30/2021,"1.2742","1.2838","1.2730","1.2781"
11/29/2021,"1.2760","1.2795","1.2722","1.2740"
11/26/2021,"1.2649","1.2800","1.2648","1.2792"
11/25/2021,"1.2667","1.2679","1.2641","1.2648"
11/24/2021,"1.2672","1.2712","1.2653","1.2670"
