Date,Open,High,Low,Close
05/08/2023,"100.04","101.43","99.96","101.05"
05/05/2023,"99.18","100.84","99.07","100.82"
05/04/2023,"98.95","99.24","98.38","99.19"
05/03/2023,"100.21","100.32","98.94","98.95"
05/02/2023,"101.60","102.10","99.99","100.20"
05/01/2023,"99.82","101.60","99.71","101.51"
04/28/2023,"98.60","100.68","98.06","100.62"
04/27/2023,"98.02","98.62","97.78","98.59"
04/26/2023,"98.16","98.36","97.55","98.02"
04/25/2023,"99.12","99.32","97.75","98.13"
04/24/2023,"99.00","99.54","97.95","99.12"
04/21/2023,"99.60","99.86","98.50","99.07"
04/20/2023,"100.10","100.25","99.52","99.60"
04/19/2023,"100.17","100.57","99.94","100.10"
04/18/2023,"100.41","100.60","100.03","100.17"
04/17/2023,"98.99","100.48","98.98","100.42"
04/14/2023,"99.40","100.18","99.19","100.14"
04/13/2023,"99.06","99.57","98.72","99.38"
04/12/2023,"99.29","99.55","98.68","99.07"
04/11/2023,"98.88","99.35","98.47","99.31"
04/10/2023,"97.77","98.95","97.61","98.89"
04/07/2023,"97.69","98.10","97.35","97.56"
04/06/2023,"97.59","97.87","97.17","97.66"
04/05/2023,"97.97","98.14","97.11","97.57"
04/04/2023,"98.55","99.19","97.69","97.96"
04/03/2023,"98.14","99.06","98.14","98.57"
03/31/2023,"98.14","98.75","97.96","98.21"
03/30/2023,"97.98","98.22","97.58","98.16"
03/29/2023,"96.23","98.02","96.15","97.99"
03/28/2023,"96.31","96.34","95.49","96.25"
03/27/2023,"95.02","96.50","95.00","96.30"
03/24/2023,"95.39","95.46","94.06","95.10"
03/23/2023,"95.72","96.33","94.89","95.40"
03/22/2023,"96.62","97.12","95.46","95.71"
03/21/2023,"96.10","96.93","95.78","96.61"
03/20/2023,"96.11","96.88","95.03","96.09"
03/17/2023,"97.48","97.52","95.81","96.05"
03/16/2023,"96.90","97.59","95.73","97.47"
03/15/2023,"98.07","98.63","95.89","96.91"
03/14/2023,"97.01","98.70","96.83","98.07"
03/13/2023,"97.40","98.08","95.94","97.00"
03/10/2023,"98.46","99.03","97.22","97.64"
03/09/2023,"99.50","99.55","98.35","98.46"
03/08/2023,"99.72","100.19","99.09","99.49"
03/07/2023,"99.84","100.03","99.46","99.71"
03/06/2023,"99.86","100.10","99.59","99.84"
03/03/2023,"100.59","100.64","99.67","99.91"
03/02/2023,"100.19","100.61","100.06","100.58"
03/01/2023,"99.81","100.24","99.48","100.20"
02/28/2023,"100.33","100.91","99.70","99.82"
02/27/2023,"100.07","100.52","99.98","100.35"
02/24/2023,"99.42","100.32","99.03","100.30"
02/23/2023,"99.57","99.91","99.26","99.41"
02/22/2023,"99.74","99.80","99.28","99.56"
02/21/2023,"99.82","100.31","99.53","99.73"
02/20/2023,"99.53","99.86","99.39","99.79"
02/17/2023,"99.52","99.95","99.40","99.64"
02/16/2023,"100.14","100.24","99.43","99.52"
02/15/2023,"99.80","100.29","99.31","100.17"
02/14/2023,"99.31","99.84","98.82","99.81"
02/13/2023,"98.16","99.57","97.41","99.29"
02/10/2023,"97.75","98.58","96.62","98.37"
02/09/2023,"97.71","98.01","97.40","97.74"
02/08/2023,"97.83","98.07","97.59","97.73"
02/07/2023,"98.65","98.75","97.46","97.81"
02/06/2023,"97.82","98.87","97.75","98.64"
02/03/2023,"96.64","98.07","95.85","97.95"
02/02/2023,"96.99","97.22","96.36","96.64"
02/01/2023,"97.77","97.98","96.62","97.01"
01/31/2023,"97.43","97.88","96.77","97.77"
01/30/2023,"97.37","97.88","97.00","97.43"
01/27/2023,"97.74","97.78","97.26","97.55"
01/26/2023,"96.76","97.80","96.28","97.74"
01/25/2023,"97.35","97.79","96.35","96.76"
01/24/2023,"97.74","97.83","97.16","97.35"
01/23/2023,"96.73","97.79","96.52","97.75"
01/20/2023,"95.36","96.96","95.29","96.81"
01/19/2023,"95.54","95.58","94.63","95.36"
01/18/2023,"95.69","98.29","95.36","95.54"
01/17/2023,"95.89","96.24","95.65","95.70"
01/16/2023,"95.43","96.14","95.24","95.89"
01/13/2023,"96.69","96.83","95.06","95.44"
01/12/2023,"98.66","98.75","96.55","96.72"
01/11/2023,"98.50","98.95","98.30","98.67"
01/10/2023,"98.50","98.77","98.16","98.49"
01/09/2023,"98.21","99.08","97.90","98.50"
01/06/2023,"98.29","99.07","98.07","98.25"
01/05/2023,"98.38","98.84","97.63","98.31"
01/04/2023,"95.82","98.46","95.51","98.39"
01/03/2023,"96.30","96.86","95.39","95.83"
01/02/2023,"96.62","97.11","96.18","96.31"
12/30/2022,"98.19","98.25","96.46","96.74"
12/29/2022,"98.83","98.84","97.97","98.19"
12/28/2022,"98.71","99.31","98.48","98.85"
12/27/2022,"97.84","98.92","97.56","98.72"
12/26/2022,"97.30","98.03","97.07","97.86"
12/23/2022,"96.95","97.93","96.83","97.64"
12/22/2022,"97.29","97.35","96.73","96.97"
12/21/2022,"96.77","97.36","96.59","97.30"
12/20/2022,"100.31","100.76","95.87","96.75"
12/19/2022,"99.46","100.47","98.65","100.31"
12/16/2022,"100.92","102.04","99.50","99.59"
12/15/2022,"100.01","101.15","99.74","100.91"
12/14/2022,"100.13","100.14","99.15","100.00"
12/13/2022,"100.97","101.40","99.47","100.11"
12/12/2022,"99.48","101.12","99.45","100.96"
12/09/2022,"100.55","100.68","99.27","100.09"
12/08/2022,"100.05","100.71","99.80","100.55"
12/07/2022,"100.39","100.94","99.83","100.05"
12/06/2022,"100.66","101.05","99.85","100.38"
12/05/2022,"99.53","101.13","99.53","100.67"
12/02/2022,"100.74","100.83","99.28","99.69"
12/01/2022,"102.92","102.95","100.55","100.74"
11/30/2022,"102.16","103.49","101.95","102.92"
11/29/2022,"102.93","103.30","101.36","102.14"
11/28/2022,"103.81","104.09","102.32","102.94"
11/25/2022,"103.93","104.55","103.81","104.00"
11/24/2022,"104.54","104.60","103.41","103.93"
11/23/2022,"105.61","105.74","104.09","104.53"
11/22/2022,"105.66","105.77","105.13","105.60"
11/21/2022,"104.61","105.83","104.51","105.67"
11/18/2022,"105.20","105.43","104.35","104.88"
11/17/2022,"104.70","105.38","104.34","105.21"
11/16/2022,"104.89","105.51","104.49","104.70"
11/15/2022,"105.05","105.66","104.10","104.89"
11/14/2022,"104.47","105.94","104.37","105.05"
11/11/2022,"105.81","106.73","104.36","104.69"
11/10/2022,"108.26","108.57","105.30","105.84"
11/09/2022,"108.50","108.93","108.13","108.25"
11/08/2022,"108.65","108.74","108.11","108.49"
11/07/2022,"108.74","109.06","108.23","108.66"
11/04/2022,"107.85","109.03","107.68","108.76"
11/03/2022,"107.83","108.04","107.17","107.85"
11/02/2022,"108.75","108.83","107.39","107.88"
11/01/2022,"109.16","109.32","108.34","108.75"
10/31/2022,"108.06","109.23","105.11","109.16"
10/28/2022,"107.85","108.64","107.69","108.40"
10/27/2022,"107.97","108.09","107.10","107.86"
10/26/2022,"108.71","109.03","107.36","107.98"
10/25/2022,"108.70","108.87","108.27","108.71"
10/24/2022,"108.27","109.56","106.85","108.73"
10/21/2022,"109.07","110.35","106.96","108.23"
10/20/2022,"108.92","109.68","108.57","109.08"
10/19/2022,"108.64","108.96","108.39","108.91"
10/18/2022,"108.66","109.12","108.05","108.66"
10/17/2022,"107.14","108.69","106.94","108.64"
10/14/2022,"107.04","107.58","106.84","107.17"
10/13/2022,"106.32","107.24","104.97","107.01"
10/12/2022,"105.71","106.69","105.59","106.31"
10/11/2022,"105.74","106.16","105.10","105.72"
10/10/2022,"105.80","106.20","105.66","105.75"
10/07/2022,"105.57","106.16","105.27","105.78"
10/06/2022,"106.21","106.54","105.44","105.59"
10/05/2022,"106.67","106.77","105.70","106.23"
10/04/2022,"106.12","106.73","105.91","106.68"
10/03/2022,"104.65","106.23","104.59","106.13"
09/30/2022,"105.54","105.80","104.58","104.66"
09/29/2022,"105.89","106.02","105.14","105.55"
09/28/2022,"105.50","105.97","104.64","105.92"
09/27/2022,"105.36","105.80","105.05","105.50"
09/26/2022,"105.49","106.05","104.70","105.37"
09/23/2022,"105.55","105.84","105.16","105.49"
09/22/2022,"107.02","108.15","104.57","105.55"
09/21/2022,"107.52","107.83","106.92","107.00"
09/20/2022,"108.06","108.34","107.40","107.51"
09/19/2022,"107.77","108.12","107.47","108.06"
09/16/2022,"108.51","108.52","107.48","107.76"
09/15/2022,"108.73","109.18","108.38","108.49"
09/14/2022,"109.75","110.00","108.26","108.74"
09/13/2022,"109.97","110.54","108.89","109.73"
09/12/2022,"109.20","110.23","108.83","110.00"
09/09/2022,"110.07","110.24","108.87","109.42"
09/08/2022,"109.55","110.12","109.18","110.07"
09/07/2022,"108.58","110.12","108.49","109.56"
09/06/2022,"106.97","108.98","106.88","108.57"
09/05/2022,"106.76","107.10","106.57","106.97"
09/02/2022,"106.57","107.17","106.39","106.78"
09/01/2022,"105.72","106.60","105.48","106.58"
08/31/2022,"105.96","106.09","105.60","105.84"
08/30/2022,"106.61","106.69","105.78","106.02"
08/29/2022,"105.54","106.81","105.52","106.59"
08/26/2022,"105.62","106.02","105.27","105.54"
08/25/2022,"105.72","105.91","105.42","105.61"
08/24/2022,"105.55","105.82","105.00","105.72"
08/23/2022,"105.30","105.81","104.87","105.53"
08/22/2022,"105.44","105.79","105.02","105.34"
08/19/2022,"104.96","105.62","104.81","105.37"
08/18/2022,"104.58","105.18","104.29","104.96"
08/17/2022,"104.50","105.07","104.21","104.59"
08/16/2022,"103.32","104.66","102.90","104.50"
08/15/2022,"104.45","104.57","102.58","103.32"
08/12/2022,"104.22","104.73","103.86","104.44"
08/11/2022,"104.02","104.34","103.24","104.21"
08/10/2022,"104.86","105.17","103.31","104.02"
08/09/2022,"104.99","105.10","104.62","104.86"
08/08/2022,"104.40","105.06","104.28","105.00"
08/05/2022,"103.32","104.75","102.96","104.35"
08/04/2022,"104.22","104.71","103.26","103.35"
08/03/2022,"103.39","104.59","102.89","104.22"
08/02/2022,"102.50","103.49","101.42","103.39"
08/01/2022,"104.14","104.24","102.42","102.50"
07/29/2022,"104.83","105.16","103.53","104.13"
07/28/2022,"106.50","106.61","104.58","104.83"
07/27/2022,"106.28","106.65","106.15","106.52"
07/26/2022,"106.39","106.62","105.86","106.28"
07/25/2022,"105.33","106.49","105.06","106.39"
07/22/2022,"106.74","107.08","105.26","105.37"
07/21/2022,"107.30","107.65","106.68","106.74"
07/20/2022,"107.39","107.56","106.97","107.33"
07/19/2022,"106.42","107.42","106.14","107.37"
07/18/2022,"106.29","107.02","106.12","106.40"
07/15/2022,"105.93","106.48","105.50","106.34"
07/14/2022,"105.89","106.94","105.07","105.94"
07/13/2022,"105.09","106.31","104.90","105.91"
07/12/2022,"105.66","105.76","104.64","105.11"
07/11/2022,"105.30","105.99","104.90","105.67"
07/08/2022,"104.87","105.22","104.11","105.17"
07/07/2022,"104.26","104.90","103.87","104.86"
07/06/2022,"104.23","104.40","103.36","104.27"
07/05/2022,"105.51","106.14","103.65","104.25"
07/04/2022,"104.94","105.59","104.47","105.52"
