Date,Open,High,Low,Close
05/08/2023,"1.1342","1.1342","1.1209","1.1224"
05/05/2023,"1.1136","1.1277","1.1117","1.1249"
05/04/2023,"1.1105","1.1167","1.1093","1.1138"
05/03/2023,"1.1135","1.1149","1.1093","1.1110"
05/02/2023,"1.1192","1.1223","1.1130","1.1137"
05/01/2023,"1.1247","1.1247","1.1178","1.1190"
04/28/2023,"1.1181","1.1246","1.1147","1.1238"
04/27/2023,"1.1114","1.1188","1.1101","1.1177"
04/26/2023,"1.1068","1.1126","1.1053","1.1115"
04/25/2023,"1.1083","1.1099","1.1011","1.1071"
04/24/2023,"1.1091","1.1111","1.1056","1.1084"
04/21/2023,"1.1101","1.1113","1.1053","1.1102"
04/20/2023,"1.1165","1.1180","1.1103","1.1104"
04/19/2023,"1.1135","1.1194","1.1131","1.1164"
04/18/2023,"1.1122","1.1168","1.1111","1.1137"
04/17/2023,"1.1092","1.1130","1.1070","1.1125"
04/14/2023,"1.1143","1.1150","1.1089","1.1089"
04/13/2023,"1.1192","1.1207","1.1103","1.1139"
04/12/2023,"1.1226","1.1234","1.1155","1.1190"
04/11/2023,"1.1265","1.1318","1.1213","1.1223"
04/10/2023,"1.1240","1.1271","1.1228","1.1264"
04/07/2023,"1.1279","1.1279","1.1222","1.1245"
04/06/2023,"1.1300","1.1307","1.1241","1.1253"
04/05/2023,"1.1319","1.1331","1.1253","1.1299"
04/04/2023,"1.1331","1.1415","1.1311","1.1329"
04/03/2023,"1.1294","1.1344","1.1267","1.1332"
03/31/2023,"1.1286","1.1366","1.1242","1.1287"
03/30/2023,"1.1309","1.1337","1.1279","1.1314"
03/29/2023,"1.1356","1.1363","1.1308","1.1312"
03/28/2023,"1.1246","1.1360","1.1246","1.1348"
03/27/2023,"1.1240","1.1264","1.1221","1.1250"
03/24/2023,"1.1261","1.1273","1.1207","1.1249"
03/23/2023,"1.1256","1.1304","1.1232","1.1262"
03/22/2023,"1.1267","1.1343","1.1250","1.1258"
03/21/2023,"1.1407","1.1415","1.1230","1.1269"
03/20/2023,"1.1315","1.1413","1.1257","1.1410"
03/17/2023,"1.1254","1.1317","1.1220","1.1282"
03/16/2023,"1.1253","1.1286","1.1162","1.1255"
03/15/2023,"1.1116","1.1259","1.1096","1.1251"
03/14/2023,"1.1110","1.1147","1.1057","1.1115"
03/13/2023,"1.1119","1.1125","1.0991","1.1111"
