time,open,high,low,close
2022-06-28 21:00:00+00:00,1.05196,1.05356,1.04352,1.04416
2022-06-29 21:00:00+00:00,1.04410,1.04888,1.03824,1.04834
2022-06-30 21:00:00+00:00,1.04837,1.04858,1.03655,1.04265
2022-07-03 21:00:00+00:00,1.04245,1.04629,1.04172,1.04228
2022-07-04 21:00:00+00:00,1.04234,1.04488,1.02352,1.02652
2022-07-05 21:00:00+00:00,1.02676,1.02768,1.01615,1.01851
2022-07-06 21:00:00+00:00,1.01824,1.02212,1.01442,1.01614
2022-07-07 21:00:00+00:00,1.01639,1.01914,1.00716,1.01854
2022-07-10 21:00:00+00:00,1.01783,1.01836,1.00337,1.00393
2022-07-11 21:00:00+00:00,1.00400,1.00739,1.00000,1.00374
2022-07-12 21:00:00+00:00,1.00363,1.01224,0.99980,1.00580
2022-07-13 21:00:00+00:00,1.00595,1.00600,0.99522,1.00206
2022-07-14 21:00:00+00:00,1.00180,1.00980,1.00070,1.00878
2022-07-17 21:00:00+00:00,1.00853,1.02014,1.00787,1.01444
2022-07-18 21:00:00+00:00,1.01430,1.02694,1.01196,1.02258
2022-07-19 21:00:00+00:00,1.02275,1.02734,1.01554,1.01810
2022-07-20 21:00:00+00:00,1.01784,1.02781,1.01536,1.02304
2022-07-21 21:00:00+00:00,1.02288,1.02554,1.01298,1.02151
2022-07-24 21:00:00+00:00,1.02145,1.02579,1.01786,1.02224
2022-07-25 21:00:00+00:00,1.02195,1.02502,1.01076,1.01174
2022-07-26 21:00:00+00:00,1.01164,1.02209,1.00968,1.01996
2022-07-27 21:00:00+00:00,1.01990,1.02346,1.01140,1.01964
2022-07-28 21:00:00+00:00,1.01968,1.02543,1.01460,1.02266
2022-07-31 21:00:00+00:00,1.02175,1.02754,1.02056,1.02602
2022-08-01 21:00:00+00:00,1.02612,1.02940,1.01636,1.01660
2022-08-02 21:00:00+00:00,1.01657,1.02104,1.01228,1.01692
2022-08-03 21:00:00+00:00,1.01660,1.02538,1.01542,1.02468
2022-08-04 21:00:00+00:00,1.02473,1.02523,1.01416,1.01814
2022-08-07 21:00:00+00:00,1.01755,1.02220,1.01592,1.01936
2022-08-08 21:00:00+00:00,1.01928,1.02474,1.01887,1.02129
2022-08-09 21:00:00+00:00,1.02130,1.03688,1.02019,1.02996
2022-08-10 21:00:00+00:00,1.03006,1.03644,1.02755,1.03240
2022-08-11 21:00:00+00:00,1.03198,1.03274,1.02384,1.02590
2022-08-14 21:00:00+00:00,1.02571,1.02683,1.01544,1.01596
2022-08-15 21:00:00+00:00,1.01620,1.01949,1.01226,1.01709
2022-08-16 21:00:00+00:00,1.01705,1.02031,1.01454,1.01781
2022-08-17 21:00:00+00:00,1.01773,1.01932,1.00794,1.00876
2022-08-18 21:00:00+00:00,1.00884,1.00956,1.00321,1.00416
2022-08-21 21:00:00+00:00,1.00405,1.00467,0.99262,0.99419
2022-08-22 21:00:00+00:00,0.99430,1.00186,0.99006,0.99672
2022-08-23 21:00:00+00:00,0.99698,0.99994,0.99101,0.99682
2022-08-24 21:00:00+00:00,0.99673,1.00336,0.99492,0.99740
2022-08-25 21:00:00+00:00,0.99738,1.00902,0.99466,0.99632
2022-08-28 21:00:00+00:00,0.99460,1.00292,0.99143,0.99982
2022-08-29 21:00:00+00:00,0.99986,1.00550,0.99820,1.00160
2022-08-30 21:00:00+00:00,1.00145,1.00792,0.99713,1.00544
2022-08-31 21:00:00+00:00,1.00542,1.00567,0.99108,0.99470
2022-09-01 21:00:00+00:00,0.99448,1.00336,0.99430,0.99564
2022-09-04 21:00:00+00:00,0.99294,0.99444,0.98780,0.99302
2022-09-05 21:00:00+00:00,0.99284,0.99866,0.98640,0.99059
2022-09-06 21:00:00+00:00,0.99080,1.00110,0.98756,1.00072
2022-09-07 21:00:00+00:00,1.00090,1.00302,0.99306,0.99992
2022-09-08 21:00:00+00:00,0.99969,1.01136,0.99966,1.00467
2022-09-11 21:00:00+00:00,1.01020,1.01978,1.00598,1.01222
2022-09-12 21:00:00+00:00,1.01226,1.01872,0.99670,0.99674
2022-09-13 21:00:00+00:00,0.99699,1.00239,0.99556,0.99790
2022-09-14 21:00:00+00:00,0.99758,1.00178,0.99558,0.99972
2022-09-15 21:00:00+00:00,1.00010,1.00364,0.99452,1.00170
2022-09-18 21:00:00+00:00,1.00122,1.00294,0.99660,1.00253
2022-09-19 21:00:00+00:00,1.00252,1.00507,0.99552,0.99700
2022-09-20 21:00:00+00:00,0.99752,0.99768,0.98131,0.98382
2022-09-21 21:00:00+00:00,0.98373,0.99076,0.98073,0.98346
2022-09-22 21:00:00+00:00,0.98368,0.98521,0.96682,0.96914
2022-09-25 21:00:00+00:00,0.96755,0.97098,0.95514,0.96090
2022-09-26 21:00:00+00:00,0.96094,0.96710,0.95692,0.95936
2022-09-27 21:00:00+00:00,0.95907,0.97510,0.95360,0.97368
2022-09-28 21:00:00+00:00,0.97351,0.98151,0.96358,0.98140
2022-09-29 21:00:00+00:00,0.98168,0.98539,0.97346,0.98016
2022-10-02 21:00:00+00:00,0.97969,0.98446,0.97529,0.98250
2022-10-03 21:00:00+00:00,0.98258,0.99996,0.98062,0.99879
2022-10-04 21:00:00+00:00,0.99870,0.99952,0.98348,0.98854
2022-10-05 21:00:00+00:00,0.98853,0.99266,0.97883,0.97922
2022-10-06 21:00:00+00:00,0.97901,0.98170,0.97262,0.97422
2022-10-09 21:00:00+00:00,0.97356,0.97534,0.96816,0.97046
2022-10-10 21:00:00+00:00,0.97036,0.97748,0.96704,0.97036
2022-10-11 21:00:00+00:00,0.97085,0.97350,0.96679,0.97038
2022-10-12 21:00:00+00:00,0.97012,0.98061,0.96315,0.97789
2022-10-13 21:00:00+00:00,0.97746,0.98088,0.97074,0.97237
2022-10-16 21:00:00+00:00,0.97253,0.98522,0.97200,0.98446
2022-10-17 21:00:00+00:00,0.98402,0.98757,0.98128,0.98588
2022-10-18 21:00:00+00:00,0.98570,0.98727,0.97572,0.97726
2022-10-19 21:00:00+00:00,0.97723,0.98455,0.97546,0.97886
2022-10-20 21:00:00+00:00,0.97861,0.98692,0.97049,0.98605
2022-10-23 21:00:00+00:00,0.98679,0.98996,0.98070,0.98736
2022-10-24 21:00:00+00:00,0.98753,0.99768,0.98488,0.99679
2022-10-25 21:00:00+00:00,0.99662,1.00888,0.99434,1.00852
2022-10-26 21:00:00+00:00,1.00812,1.00938,0.99577,0.99648
2022-10-27 21:00:00+00:00,0.99655,0.99982,0.99265,0.99660
2022-10-30 21:00:00+00:00,0.99548,0.99658,0.98730,0.98828
2022-10-31 21:00:00+00:00,0.98812,0.99540,0.98530,0.98742
2022-11-01 21:00:00+00:00,0.98836,0.99760,0.98130,0.98156
2022-11-02 21:00:00+00:00,0.98188,0.98398,0.97302,0.97500
2022-11-03 21:00:00+00:00,0.97531,0.99666,0.97426,0.99589
2022-11-06 22:00:00+00:00,0.99086,1.00345,0.99048,1.00210
2022-11-07 22:00:00+00:00,1.00181,1.00965,0.99716,1.00732
2022-11-08 22:00:00+00:00,1.00769,1.00884,0.99930,1.00117
2022-11-09 22:00:00+00:00,1.00118,1.02220,0.99354,1.02076
2022-11-10 22:00:00+00:00,1.02063,1.03642,1.01632,1.03542
2022-11-13 22:00:00+00:00,1.03351,1.03586,1.02716,1.03271
2022-11-14 22:00:00+00:00,1.03282,1.04815,1.02802,1.03481
2022-11-15 22:00:00+00:00,1.03489,1.04386,1.03309,1.03944
2022-11-16 22:00:00+00:00,1.03920,1.04068,1.03053,1.03650
