Name: EURUSD_2023-2024.csv
Initial Account: 25000
Total Trades: 71
Win Rate: 0.5352112676056338
$ (%) Gain:1188.6815134430617(0.04754726053772251)
Max Drawdown: -0.0199980099999999
#, Lot Size, RR, Direction, Entry ($), SL ($), TP ($), W/L, Gain ($), Account ($)
1, 9.999999999999325, 1.3, BUY, 1.0755, 1.0729999999999997, 1.07875, WIN, 250.0, 25250.0
2, 7.283653846153716, 1.3, BUY, 1.0776, 1.0741333333333332, 1.0821066666666666, LOSS, -252.5, 24997.5
3, 4.999499999999974, 1.3, BUY, 1.0712, 1.0661999999999998, 1.0776999999999999, LOSS, -249.97500000000002, 24747.525
4, 4.256331081081063, 1.3, BUY, 1.0726, 1.0667857142857142, 1.0801585714285715, LOSS, -247.47525000000007, 24500.049750000002
5, 4.224146508620683, 1.3, BUY, 1.0655, 1.0596999999999999, 1.07304, WIN, 245.00049750000002, 24745.050247500003
6, 4.209364562150656, 1.3, BUY, 1.0746, 1.0687214285714286, 1.082242142857143, WIN, 247.45050247500004, 24992.500749975003
7, 4.251458207772162, 1.3, SELL, 1.086, 1.0918785714285715, 1.0783578571428571, WIN, 249.92500749975, 25242.425757474753
8, 4.293972789849883, 1.3, BUY, 1.0745, 1.0686214285714286, 1.082142142857143, WIN, 252.42425757474751, 25494.850015049502
9, 4.336912517748383, 1.3, BUY, 1.0833, 1.0774214285714285, 1.0909421428571429, WIN, 254.94850015049502, 25749.798515199996
10, 4.380281642925866, 1.3, SELL, 1.0867, 1.0925785714285714, 1.079057857142857, LOSS, -257.49798515199996, 25492.300530047996
11, 4.336478826496608, 1.3, SELL, 1.0929, 1.0987785714285714, 1.085257857142857, WIN, 254.92300530048, 25747.223535348476
12, 4.379843614761573, 1.3, SELL, 1.0857, 1.0915785714285715, 1.0780578571428572, WIN, 257.47223535348473, 26004.69577070196
13, 4.423642050909189, 1.3, BUY, 1.0778, 1.0719214285714287, 1.085442142857143, LOSS, -260.0469577070196, 25744.648812994943
14, 4.379405630400098, 1.3, BUY, 1.0772, 1.0713214285714285, 1.0848421428571429, WIN, 257.4464881299494, 26002.095301124893
15, 4.423199686704099, 1.3, SELL, 1.0814, 1.0872785714285713, 1.073757857142857, LOSS, -260.02095301124893, 25742.074348113645
