time,open,high,low,close,volume
2024-06-14T14:40:00.000000000Z,1.06750,1.06783,1.06698,1.06764,1048
2024-06-14T14:50:00.000000000Z,1.06765,1.06878,1.06762,1.06872,1127
2024-06-14T15:00:00.000000000Z,1.06870,1.06922,1.06836,1.06899,1192
2024-06-14T15:10:00.000000000Z,1.06898,1.06963,1.06884,1.06948,599
2024-06-14T15:20:00.000000000Z,1.06949,1.06988,1.06949,1.06987,577
2024-06-14T15:30:00.000000000Z,1.06986,1.06999,1.06970,1.06996,610
2024-06-14T15:40:00.000000000Z,1.06994,1.06994,1.06952,1.06953,611
2024-06-14T15:50:00.000000000Z,1.06952,1.07000,1.06945,1.06990,571
2024-06-14T16:00:00.000000000Z,1.06988,1.06989,1.06945,1.06946,421
2024-06-14T16:10:00.000000000Z,1.06948,1.06975,1.06931,1.06962,363
2024-06-14T16:20:00.000000000Z,1.06963,1.06992,1.06950,1.06974,307
2024-06-14T16:30:00.000000000Z,1.06975,1.07007,1.06974,1.06994,338
2024-06-14T16:40:00.000000000Z,1.06990,1.07012,1.06990,1.07011,237
2024-06-14T16:50:00.000000000Z,1.07014,1.07019,1.06997,1.07004,334
2024-06-14T17:00:00.000000000Z,1.07006,1.07027,1.06983,1.07011,456
2024-06-14T17:10:00.000000000Z,1.07014,1.07047,1.07014,1.07042,345
2024-06-14T17:20:00.000000000Z,1.07040,1.07047,1.06984,1.07004,575
2024-06-14T17:30:00.000000000Z,1.07004,1.07027,1.06994,1.06996,335
2024-06-14T17:40:00.000000000Z,1.06996,1.07007,1.06980,1.06990,466
2024-06-14T17:50:00.000000000Z,1.06986,1.06992,1.06968,1.06980,423
2024-06-14T18:00:00.000000000Z,1.06982,1.06984,1.06950,1.06952,356
2024-06-14T18:10:00.000000000Z,1.06952,1.06966,1.06946,1.06956,388
2024-06-14T18:20:00.000000000Z,1.06958,1.06994,1.06958,1.06970,380
2024-06-14T18:30:00.000000000Z,1.06967,1.06974,1.06946,1.06958,347
2024-06-14T18:40:00.000000000Z,1.06956,1.06999,1.06952,1.06994,377
2024-06-14T18:50:00.000000000Z,1.06994,1.07006,1.06990,1.06997,368
2024-06-14T19:00:00.000000000Z,1.06996,1.07011,1.06990,1.07008,319
2024-06-14T19:10:00.000000000Z,1.07009,1.07027,1.06994,1.07024,294
2024-06-14T19:20:00.000000000Z,1.07024,1.07033,1.07011,1.07031,208
2024-06-14T19:30:00.000000000Z,1.07032,1.07045,1.07026,1.07042,159
2024-06-14T19:40:00.000000000Z,1.07040,1.07044,1.07033,1.07033,132
2024-06-14T19:50:00.000000000Z,1.07034,1.07061,1.07026,1.07061,209
2024-06-14T20:00:00.000000000Z,1.07060,1.07064,1.07038,1.07050,294
2024-06-14T20:10:00.000000000Z,1.07050,1.07057,1.07043,1.07054,166
2024-06-14T20:20:00.000000000Z,1.07055,1.07070,1.07048,1.07066,87
2024-06-14T20:30:00.000000000Z,1.07070,1.07076,1.07062,1.07075,147
2024-06-14T20:40:00.000000000Z,1.07074,1.07075,1.07042,1.07042,106
