time,open,high,low,close,volume
2024-06-07T18:41:30.000000000Z,1.08036,1.08037,1.08036,1.08037,2
2024-06-07T18:41:45.000000000Z,1.08036,1.08042,1.08036,1.08042,7
2024-06-07T18:42:00.000000000Z,1.08046,1.08046,1.08043,1.08046,8
2024-06-07T18:42:15.000000000Z,1.08046,1.08046,1.08046,1.08046,2
2024-06-07T18:42:45.000000000Z,1.08046,1.08046,1.08044,1.08044,5
2024-06-07T18:43:00.000000000Z,1.08046,1.08046,1.08045,1.08046,5
2024-06-07T18:43:15.000000000Z,1.08045,1.08050,1.08045,1.08050,7
2024-06-07T18:43:30.000000000Z,1.08051,1.08056,1.08050,1.08056,11
2024-06-07T18:43:45.000000000Z,1.08058,1.08060,1.08056,1.08060,16
2024-06-07T18:44:00.000000000Z,1.08060,1.08060,1.08053,1.08058,15
2024-06-07T18:44:15.000000000Z,1.08058,1.08062,1.08058,1.08061,9
2024-06-07T18:44:30.000000000Z,1.08062,1.08062,1.08061,1.08062,4
2024-06-07T18:44:45.000000000Z,1.08061,1.08066,1.08061,1.08066,12
2024-06-07T18:45:00.000000000Z,1.08065,1.08068,1.08065,1.08065,11
2024-06-07T18:45:15.000000000Z,1.08064,1.08065,1.08063,1.08064,7
2024-06-07T18:45:30.000000000Z,1.08063,1.08065,1.08060,1.08060,12
2024-06-07T18:45:45.000000000Z,1.08062,1.08069,1.08062,1.08066,10
2024-06-07T18:46:00.000000000Z,1.08067,1.08068,1.08065,1.08066,20
2024-06-07T18:46:15.000000000Z,1.08065,1.08065,1.08061,1.08061,20
2024-06-07T18:46:30.000000000Z,1.08062,1.08062,1.08059,1.08060,6
2024-06-07T18:46:45.000000000Z,1.08060,1.08061,1.08058,1.08060,9
2024-06-07T18:47:00.000000000Z,1.08060,1.08063,1.08058,1.08060,10
2024-06-07T18:47:15.000000000Z,1.08060,1.08061,1.08060,1.08060,10
2024-06-07T18:47:30.000000000Z,1.08060,1.08062,1.08057,1.08061,16
2024-06-07T18:47:45.000000000Z,1.08059,1.08059,1.08057,1.08057,6
2024-06-07T18:48:00.000000000Z,1.08055,1.08056,1.08050,1.08050,11
2024-06-07T18:48:15.000000000Z,1.08051,1.08052,1.08050,1.08050,9
2024-06-07T18:48:30.000000000Z,1.08052,1.08061,1.08052,1.08056,23
2024-06-07T18:48:45.000000000Z,1.08054,1.08056,1.08054,1.08055,7
2024-06-07T18:49:00.000000000Z,1.08056,1.08056,1.08054,1.08054,4
2024-06-07T18:49:15.000000000Z,1.08052,1.08057,1.08052,1.08056,15
2024-06-07T18:49:30.000000000Z,1.08055,1.08062,1.08055,1.08061,17
2024-06-07T18:49:45.000000000Z,1.08062,1.08062,1.08061,1.08061,4
2024-06-07T18:50:00.000000000Z,1.08061,1.08068,1.08061,1.08066,21
2024-06-07T18:50:15.000000000Z,1.08065,1.08068,1.08064,1.08064,9
2024-06-07T18:50:30.000000000Z,1.08065,1.08066,1.08061,1.08061,17
2024-06-07T18:50:45.000000000Z,1.08062,1.08062,1.08058,1.08060,4
2024-06-07T18:51:00.000000000Z,1.08060,1.08061,1.08058,1.08061,18
2024-06-07T18:51:30.000000000Z,1.08065,1.08068,1.08065,1.08066,12
2024-06-07T18:51:45.000000000Z,1.08067,1.08067,1.08067,1.08067,1
2024-06-07T18:52:00.000000000Z,1.08068,1.08068,1.08067,1.08067,2
2024-06-07T18:52:30.000000000Z,1.08065,1.08065,1.08061,1.08061,2
