time,open,high,low,close,volume
2024-05-22T07:00:00.000000000Z,0.66628,0.66628,0.66532,0.66608,1683
2024-05-22T08:00:00.000000000Z,0.66608,0.66646,0.66540,0.66608,1266
2024-05-22T09:00:00.000000000Z,0.66612,0.66635,0.66560,0.66634,1323
2024-05-22T10:00:00.000000000Z,0.66634,0.66668,0.66620,0.66636,1018
2024-05-22T11:00:00.000000000Z,0.66640,0.66653,0.66442,0.66478,1404
2024-05-22T12:00:00.000000000Z,0.66478,0.66504,0.66448,0.66454,2152
2024-05-22T13:00:00.000000000Z,0.66454,0.66562,0.66454,0.66532,2208
2024-05-22T14:00:00.000000000Z,0.66532,0.66538,0.66346,0.66410,2383
2024-05-22T15:00:00.000000000Z,0.66410,0.66465,0.66327,0.66345,1380
2024-05-22T16:00:00.000000000Z,0.66346,0.66418,0.66328,0.66398,1416
2024-05-22T17:00:00.000000000Z,0.66398,0.66429,0.66294,0.66295,1818
2024-05-22T18:00:00.000000000Z,0.66300,0.66312,0.66081,0.66134,2849
2024-05-22T19:00:00.000000000Z,0.66134,0.66170,0.66084,0.66170,1523
2024-05-22T20:00:00.000000000Z,0.66170,0.66206,0.66164,0.66190,887
2024-05-22T21:00:00.000000000Z,0.66157,0.66224,0.66156,0.66192,371
2024-05-22T22:00:00.000000000Z,0.66190,0.66248,0.66189,0.66228,613
2024-05-22T23:00:00.000000000Z,0.66228,0.66241,0.66183,0.66185,846
2024-05-23T00:00:00.000000000Z,0.66186,0.66248,0.66170,0.66178,1976
2024-05-23T01:00:00.000000000Z,0.66179,0.66233,0.66152,0.66196,2660
2024-05-23T02:00:00.000000000Z,0.66194,0.66252,0.66148,0.66229,2052
2024-05-23T03:00:00.000000000Z,0.66230,0.66312,0.66208,0.66308,1411
2024-05-23T04:00:00.000000000Z,0.66310,0.66333,0.66274,0.66276,817
2024-05-23T05:00:00.000000000Z,0.66272,0.66304,0.66202,0.66216,1140
2024-05-23T06:00:00.000000000Z,0.66214,0.66294,0.66192,0.66223,1607
2024-05-23T07:00:00.000000000Z,0.66226,0.66254,0.66175,0.66196,2117
2024-05-23T08:00:00.000000000Z,0.66197,0.66279,0.66188,0.66278,1342
2024-05-23T09:00:00.000000000Z,0.66282,0.66399,0.66264,0.66395,1428
2024-05-23T10:00:00.000000000Z,0.66396,0.66422,0.66366,0.66401,1191
2024-05-23T11:00:00.000000000Z,0.66406,0.66438,0.66336,0.66412,1298
2024-05-23T12:00:00.000000000Z,0.66412,0.66459,0.66381,0.66415,2224
2024-05-23T13:00:00.000000000Z,0.66416,0.66528,0.66202,0.66286,3705
2024-05-23T14:00:00.000000000Z,0.66286,0.66379,0.66240,0.66266,5396
2024-05-23T15:00:00.000000000Z,0.66268,0.66314,0.66214,0.66279,2494
2024-05-23T16:00:00.000000000Z,0.66283,0.66323,0.66195,0.66206,1864
2024-05-23T17:00:00.000000000Z,0.66205,0.66206,0.66037,0.66056,1742
2024-05-23T18:00:00.000000000Z,0.66056,0.66070,0.65976,0.66002,2009
2024-05-23T19:00:00.000000000Z,0.66000,0.66044,0.65982,0.66034,2225
2024-05-23T20:00:00.000000000Z,0.66035,0.66070,0.66024,0.66070,566
2024-05-23T21:00:00.000000000Z,0.66053,0.66070,0.66046,0.66054,594
2024-05-23T22:00:00.000000000Z,0.66054,0.66064,0.66046,0.66052,393
2024-05-23T23:00:00.000000000Z,0.66054,0.66070,0.66004,0.66006,742
2024-05-24T00:00:00.000000000Z,0.66006,0.66040,0.65947,0.66018,1775
