time,open,high,low,close,volume
2024-06-07T04:20:00.000000000Z,1.08955,1.08958,1.08952,1.08958,56
2024-06-07T04:22:00.000000000Z,1.08958,1.08961,1.08958,1.08960,47
2024-06-07T04:24:00.000000000Z,1.08960,1.08967,1.08959,1.08966,40
2024-06-07T04:26:00.000000000Z,1.08965,1.08970,1.08964,1.08964,29
2024-06-07T04:28:00.000000000Z,1.08965,1.08968,1.08963,1.08963,31
2024-06-07T04:30:00.000000000Z,1.08965,1.08970,1.08960,1.08963,62
2024-06-07T04:32:00.000000000Z,1.08965,1.08966,1.08963,1.08964,32
2024-06-07T04:34:00.000000000Z,1.08963,1.08965,1.08958,1.08963,33
2024-06-07T04:36:00.000000000Z,1.08962,1.08965,1.08960,1.08963,9
2024-06-07T04:38:00.000000000Z,1.08965,1.08967,1.08963,1.08965,30
2024-06-07T04:40:00.000000000Z,1.08966,1.08970,1.08966,1.08969,47
2024-06-07T04:42:00.000000000Z,1.08968,1.08969,1.08956,1.08959,40
2024-06-07T04:44:00.000000000Z,1.08958,1.08959,1.08952,1.08954,39
2024-06-07T04:46:00.000000000Z,1.08953,1.08953,1.08942,1.08942,41
2024-06-07T04:48:00.000000000Z,1.08944,1.08946,1.08940,1.08940,51
2024-06-07T04:50:00.000000000Z,1.08940,1.08944,1.08937,1.08944,36
2024-06-07T04:52:00.000000000Z,1.08943,1.08946,1.08942,1.08944,49
2024-06-07T04:54:00.000000000Z,1.08942,1.08950,1.08942,1.08948,56
2024-06-07T04:56:00.000000000Z,1.08948,1.08950,1.08948,1.08949,10
2024-06-07T04:58:00.000000000Z,1.08950,1.08958,1.08949,1.08953,52
2024-06-07T05:00:00.000000000Z,1.08954,1.08956,1.08948,1.08949,57
2024-06-07T05:02:00.000000000Z,1.08948,1.08952,1.08946,1.08952,35
2024-06-07T05:04:00.000000000Z,1.08951,1.08953,1.08949,1.08952,31
2024-06-07T05:06:00.000000000Z,1.08955,1.08955,1.08946,1.08948,27
2024-06-07T05:08:00.000000000Z,1.08947,1.08952,1.08942,1.08945,33
2024-06-07T05:10:00.000000000Z,1.08943,1.08945,1.08941,1.08942,21
2024-06-07T05:12:00.000000000Z,1.08942,1.08942,1.08929,1.08938,37
2024-06-07T05:14:00.000000000Z,1.08936,1.08936,1.08929,1.08933,58
2024-06-07T05:16:00.000000000Z,1.08932,1.08935,1.08928,1.08929,22
2024-06-07T05:18:00.000000000Z,1.08928,1.08929,1.08928,1.08929,14
2024-06-07T05:20:00.000000000Z,1.08930,1.08934,1.08919,1.08922,43
2024-06-07T05:22:00.000000000Z,1.08922,1.08925,1.08921,1.08924,45
2024-06-07T05:24:00.000000000Z,1.08926,1.08932,1.08926,1.08932,31
2024-06-07T05:26:00.000000000Z,1.08934,1.08936,1.08932,1.08936,34
2024-06-07T05:28:00.000000000Z,1.08934,1.08935,1.08928,1.08929,57
2024-06-07T05:30:00.000000000Z,1.08928,1.08931,1.08922,1.08924,64
2024-06-07T05:32:00.000000000Z,1.08925,1.08925,1.08918,1.08920,31
2024-06-07T05:34:00.000000000Z,1.08919,1.08922,1.08918,1.08922,42
2024-06-07T05:36:00.000000000Z,1.08924,1.08929,1.08924,1.08924,41
2024-06-07T05:38:00.000000000Z,1.08922,1.08925,1.08914,1.08914,37
2024-06-07T05:40:00.000000000Z,1.08912,1.08918,1.08909,1.08918,40
2024-06-07T05:42:00.000000000Z,1.08916,1.08920,1.08914,1.08918,18
2024-06-07T05:44:00.000000000Z,1.08916,1.08916,1.08908,1.08909,41
2024-06-07T05:46:00.000000000Z,1.08908,1.08914,1.08908,1.08912,25
2024-06-07T05:48:00.000000000Z,1.08912,1.08912,1.08904,1.08908,54
2024-06-07T05:50:00.000000000Z,1.08909,1.08913,1.08894,1.08894,84
2024-06-07T05:52:00.000000000Z,1.08897,1.08905,1.08895,1.08902,72
2024-06-07T05:54:00.000000000Z,1.08902,1.08910,1.08897,1.08909,59
2024-06-07T05:56:00.000000000Z,1.08905,1.08918,1.08898,1.08906,57
2024-06-07T05:58:00.000000000Z,1.08908,1.08910,1.08904,1.08908,44
2024-06-07T06:00:00.000000000Z,1.08909,1.08910,1.08888,1.08899,43
2024-06-07T06:02:00.000000000Z,1.08901,1.08909,1.08895,1.08899,74
2024-06-07T06:04:00.000000000Z,1.08898,1.08905,1.08892,1.08902,89
2024-06-07T06:06:00.000000000Z,1.08904,1.08910,1.08898,1.08898,113
2024-06-07T06:08:00.000000000Z,1.08900,1.08901,1.08881,1.08884,79
2024-06-07T06:10:00.000000000Z,1.08882,1.08891,1.08882,1.08890,70
2024-06-07T06:12:00.000000000Z,1.08890,1.08890,1.08880,1.08888,78
2024-06-07T06:14:00.000000000Z,1.08890,1.08891,1.08882,1.08882,84
2024-06-07T06:16:00.000000000Z,1.08884,1.08899,1.08881,1.08898,92
2024-06-07T06:18:00.000000000Z,1.08897,1.08899,1.08888,1.08888,56
2024-06-07T06:20:00.000000000Z,1.08890,1.08901,1.08888,1.08895,69
2024-06-07T06:22:00.000000000Z,1.08896,1.08899,1.08888,1.08891,51
2024-06-07T06:24:00.000000000Z,1.08890,1.08895,1.08884,1.08890,75
2024-06-07T06:26:00.000000000Z,1.08890,1.08907,1.08890,1.08907,94
2024-06-07T06:28:00.000000000Z,1.08906,1.08915,1.08906,1.08915,37
2024-06-07T06:30:00.000000000Z,1.08914,1.08922,1.08904,1.08921,66
2024-06-07T06:32:00.000000000Z,1.08920,1.08920,1.08907,1.08908,84
2024-06-07T06:34:00.000000000Z,1.08909,1.08910,1.08893,1.08898,70
2024-06-07T06:36:00.000000000Z,1.08898,1.08908,1.08898,1.08908,97
2024-06-07T06:38:00.000000000Z,1.08909,1.08909,1.08898,1.08904,79
2024-06-07T06:40:00.000000000Z,1.08905,1.08911,1.08902,1.08909,57
2024-06-07T06:42:00.000000000Z,1.08908,1.08909,1.08892,1.08894,89
2024-06-07T06:44:00.000000000Z,1.08894,1.08902,1.08892,1.08894,60
2024-06-07T06:46:00.000000000Z,1.08892,1.08895,1.08890,1.08894,55
2024-06-07T06:48:00.000000000Z,1.08894,1.08908,1.08892,1.08908,84
2024-06-07T06:50:00.000000000Z,1.08907,1.08936,1.08904,1.08936,81
2024-06-07T06:52:00.000000000Z,1.08935,1.08946,1.08935,1.08938,113
2024-06-07T06:54:00.000000000Z,1.08940,1.08966,1.08938,1.08963,90
2024-06-07T06:56:00.000000000Z,1.08965,1.08966,1.08932,1.08938,116
2024-06-07T06:58:00.000000000Z,1.08936,1.08938,1.08914,1.08922,138
2024-06-07T07:00:00.000000000Z,1.08924,1.08936,1.08916,1.08934,213
2024-06-07T07:02:00.000000000Z,1.08934,1.08946,1.08928,1.08938,226
2024-06-07T07:04:00.000000000Z,1.08939,1.08942,1.08929,1.08931,65
2024-06-07T07:06:00.000000000Z,1.08930,1.08950,1.08928,1.08948,94
2024-06-07T07:08:00.000000000Z,1.08948,1.08959,1.08943,1.08953,93
2024-06-07T07:10:00.000000000Z,1.08952,1.08970,1.08952,1.08964,118
2024-06-07T07:12:00.000000000Z,1.08963,1.08985,1.08962,1.08980,107
2024-06-07T07:14:00.000000000Z,1.08980,1.08986,1.08972,1.08978,97
2024-06-07T07:16:00.000000000Z,1.08977,1.08984,1.08972,1.08975,94
2024-06-07T07:18:00.000000000Z,1.08976,1.08978,1.08952,1.08953,113
2024-06-07T07:20:00.000000000Z,1.08950,1.08952,1.08938,1.08943,124
2024-06-07T07:22:00.000000000Z,1.08945,1.08956,1.08938,1.08956,88
2024-06-07T07:24:00.000000000Z,1.08953,1.08958,1.08932,1.08932,112
2024-06-07T07:26:00.000000000Z,1.08930,1.08942,1.08929,1.08936,109
2024-06-07T07:28:00.000000000Z,1.08938,1.08942,1.08918,1.08928,137
2024-06-07T07:30:00.000000000Z,1.08928,1.08928,1.08900,1.08910,161
2024-06-07T07:32:00.000000000Z,1.08909,1.08924,1.08904,1.08922,98
2024-06-07T07:34:00.000000000Z,1.08921,1.08930,1.08916,1.08919,116
2024-06-07T07:36:00.000000000Z,1.08915,1.08915,1.08901,1.08905,127
2024-06-07T07:38:00.000000000Z,1.08906,1.08930,1.08897,1.08926,149
2024-06-07T07:40:00.000000000Z,1.08924,1.08942,1.08920,1.08920,120
2024-06-07T07:42:00.000000000Z,1.08921,1.08932,1.08921,1.08932,123
2024-06-07T07:44:00.000000000Z,1.08934,1.08956,1.08932,1.08949,149
2024-06-07T07:46:00.000000000Z,1.08948,1.08956,1.08947,1.08950,169
2024-06-07T07:48:00.000000000Z,1.08949,1.08954,1.08932,1.08939,124
2024-06-07T07:50:00.000000000Z,1.08936,1.08944,1.08934,1.08941,108
2024-06-07T07:52:00.000000000Z,1.08940,1.08956,1.08940,1.08951,118
2024-06-07T07:54:00.000000000Z,1.08949,1.08959,1.08948,1.08953,107
2024-06-07T07:56:00.000000000Z,1.08952,1.08958,1.08935,1.08942,132
