time,open,high,low,close,volume
2024-06-07T16:44:00.000000000Z,1.08072,1.08072,1.08070,1.08072,12
2024-06-07T16:44:30.000000000Z,1.08070,1.08072,1.08070,1.08071,25
2024-06-07T16:45:00.000000000Z,1.08070,1.08074,1.08070,1.08072,18
2024-06-07T16:45:30.000000000Z,1.08068,1.08068,1.08055,1.08060,17
2024-06-07T16:46:00.000000000Z,1.08062,1.08063,1.08054,1.08055,30
2024-06-07T16:46:30.000000000Z,1.08057,1.08063,1.08057,1.08060,11
2024-06-07T16:47:00.000000000Z,1.08060,1.08061,1.08055,1.08060,19
2024-06-07T16:47:30.000000000Z,1.08059,1.08060,1.08050,1.08051,29
2024-06-07T16:48:00.000000000Z,1.08050,1.08051,1.08048,1.08050,15
2024-06-07T16:48:30.000000000Z,1.08050,1.08050,1.08044,1.08047,20
2024-06-07T16:49:00.000000000Z,1.08046,1.08048,1.08041,1.08044,37
2024-06-07T16:49:30.000000000Z,1.08044,1.08044,1.08040,1.08040,15
2024-06-07T16:50:00.000000000Z,1.08040,1.08046,1.08040,1.08046,16
2024-06-07T16:50:30.000000000Z,1.08046,1.08048,1.08044,1.08044,9
2024-06-07T16:51:00.000000000Z,1.08044,1.08047,1.08040,1.08041,28
2024-06-07T16:51:30.000000000Z,1.08040,1.08044,1.08038,1.08038,24
2024-06-07T16:52:00.000000000Z,1.08038,1.08041,1.08038,1.08040,23
2024-06-07T16:52:30.000000000Z,1.08041,1.08043,1.08038,1.08038,17
2024-06-07T16:53:00.000000000Z,1.08040,1.08048,1.08038,1.08038,17
2024-06-07T16:53:30.000000000Z,1.08038,1.08044,1.08038,1.08040,24
2024-06-07T16:54:00.000000000Z,1.08040,1.08044,1.08040,1.08044,6
2024-06-07T16:54:30.000000000Z,1.08046,1.08046,1.08041,1.08046,24
2024-06-07T16:55:00.000000000Z,1.08045,1.08045,1.08038,1.08040,12
2024-06-07T16:55:30.000000000Z,1.08038,1.08044,1.08038,1.08041,17
2024-06-07T16:56:00.000000000Z,1.08043,1.08044,1.08043,1.08043,5
2024-06-07T16:56:30.000000000Z,1.08040,1.08044,1.08038,1.08044,18
2024-06-07T16:57:00.000000000Z,1.08043,1.08044,1.08043,1.08043,12
2024-06-07T16:57:30.000000000Z,1.08041,1.08041,1.08036,1.08038,23
2024-06-07T16:58:00.000000000Z,1.08038,1.08038,1.08033,1.08034,13
2024-06-07T16:58:30.000000000Z,1.08033,1.08044,1.08033,1.08044,16
2024-06-07T16:59:00.000000000Z,1.08044,1.08050,1.08044,1.08050,18
2024-06-07T16:59:30.000000000Z,1.08048,1.08054,1.08048,1.08052,21
2024-06-07T17:00:00.000000000Z,1.08053,1.08054,1.08043,1.08044,27
2024-06-07T17:00:30.000000000Z,1.08043,1.08043,1.08034,1.08034,7
2024-06-07T17:01:00.000000000Z,1.08033,1.08034,1.08023,1.08024,43
2024-06-07T17:01:30.000000000Z,1.08023,1.08027,1.08023,1.08023,16
2024-06-07T17:02:00.000000000Z,1.08024,1.08024,1.08016,1.08024,31
2024-06-07T17:02:30.000000000Z,1.08023,1.08023,1.08014,1.08016,13
2024-06-07T17:03:00.000000000Z,1.08017,1.08024,1.08016,1.08024,15
2024-06-07T17:03:30.000000000Z,1.08023,1.08024,1.08021,1.08023,42
2024-06-07T17:04:00.000000000Z,1.08024,1.08028,1.08018,1.08018,29
2024-06-07T17:04:30.000000000Z,1.08019,1.08021,1.08016,1.08018,19
2024-06-07T17:05:00.000000000Z,1.08019,1.08019,1.08018,1.08019,11
2024-06-07T17:05:30.000000000Z,1.08021,1.08024,1.08021,1.08023,18
2024-06-07T17:06:00.000000000Z,1.08021,1.08028,1.08020,1.08027,12
2024-06-07T17:06:30.000000000Z,1.08030,1.08036,1.08030,1.08034,10
2024-06-07T17:07:00.000000000Z,1.08033,1.08034,1.08031,1.08034,10
2024-06-07T17:07:30.000000000Z,1.08033,1.08034,1.08032,1.08032,6
2024-06-07T17:08:00.000000000Z,1.08033,1.08038,1.08033,1.08038,8
2024-06-07T17:08:30.000000000Z,1.08036,1.08037,1.08033,1.08033,8
2024-06-07T17:09:00.000000000Z,1.08032,1.08032,1.08028,1.08028,4
2024-06-07T17:09:30.000000000Z,1.08030,1.08030,1.08023,1.08024,6
2024-06-07T17:10:00.000000000Z,1.08027,1.08027,1.08021,1.08021,9
2024-06-07T17:10:30.000000000Z,1.08023,1.08024,1.08021,1.08024,20
2024-06-07T17:11:00.000000000Z,1.08026,1.08027,1.08021,1.08023,16
2024-06-07T17:11:30.000000000Z,1.08025,1.08025,1.08023,1.08023,21
2024-06-07T17:12:00.000000000Z,1.08025,1.08027,1.08021,1.08024,19
2024-06-07T17:12:30.000000000Z,1.08026,1.08028,1.08024,1.08028,8
2024-06-07T17:13:00.000000000Z,1.08026,1.08027,1.08023,1.08027,7
2024-06-07T17:14:00.000000000Z,1.08026,1.08027,1.08018,1.08018,11
2024-06-07T17:14:30.000000000Z,1.08016,1.08018,1.08016,1.08018,4
2024-06-07T17:15:00.000000000Z,1.08019,1.08019,1.08016,1.08018,24
2024-06-07T17:15:30.000000000Z,1.08019,1.08019,1.08016,1.08017,12
2024-06-07T17:16:00.000000000Z,1.08019,1.08021,1.08016,1.08018,25
2024-06-07T17:16:30.000000000Z,1.08020,1.08022,1.08016,1.08018,23
2024-06-07T17:17:00.000000000Z,1.08016,1.08018,1.08012,1.08013,20
2024-06-07T17:17:30.000000000Z,1.08011,1.08016,1.08010,1.08016,16
2024-06-07T17:18:00.000000000Z,1.08018,1.08021,1.08014,1.08019,19
2024-06-07T17:18:30.000000000Z,1.08021,1.08023,1.08014,1.08019,17
2024-06-07T17:19:00.000000000Z,1.08018,1.08019,1.08018,1.08019,4
2024-06-07T17:19:30.000000000Z,1.08020,1.08021,1.08016,1.08018,21
2024-06-07T17:20:00.000000000Z,1.08016,1.08016,1.08011,1.08014,13
2024-06-07T17:20:30.000000000Z,1.08011,1.08022,1.08011,1.08020,18
2024-06-07T17:21:00.000000000Z,1.08020,1.08026,1.08020,1.08024,23
2024-06-07T17:21:30.000000000Z,1.08026,1.08026,1.08021,1.08022,22
2024-06-07T17:22:00.000000000Z,1.08020,1.08021,1.08018,1.08019,11
2024-06-07T17:22:30.000000000Z,1.08018,1.08024,1.08018,1.08024,17
2024-06-07T17:23:00.000000000Z,1.08023,1.08027,1.08021,1.08027,7
2024-06-07T17:23:30.000000000Z,1.08030,1.08030,1.08023,1.08024,7
2024-06-07T17:24:00.000000000Z,1.08026,1.08027,1.08024,1.08026,16
2024-06-07T17:24:30.000000000Z,1.08027,1.08027,1.08025,1.08025,5
2024-06-07T17:25:00.000000000Z,1.08024,1.08024,1.08016,1.08016,22
2024-06-07T17:25:30.000000000Z,1.08018,1.08021,1.08018,1.08021,15
2024-06-07T17:26:00.000000000Z,1.08023,1.08023,1.08014,1.08017,36
2024-06-07T17:26:30.000000000Z,1.08016,1.08019,1.08014,1.08018,15
2024-06-07T17:27:00.000000000Z,1.08016,1.08018,1.08014,1.08014,18
2024-06-07T17:27:30.000000000Z,1.08014,1.08020,1.08014,1.08020,43
2024-06-07T17:28:00.000000000Z,1.08018,1.08018,1.08010,1.08016,40
2024-06-07T17:28:30.000000000Z,1.08020,1.08020,1.08018,1.08018,33
2024-06-07T17:29:00.000000000Z,1.08019,1.08021,1.08018,1.08020,12
2024-06-07T17:29:30.000000000Z,1.08020,1.08020,1.08019,1.08020,8
2024-06-07T17:30:00.000000000Z,1.08018,1.08020,1.08015,1.08019,17
2024-06-07T17:30:30.000000000Z,1.08020,1.08020,1.08013,1.08014,13
2024-06-07T17:31:00.000000000Z,1.08014,1.08014,1.08012,1.08014,8
2024-06-07T17:31:30.000000000Z,1.08014,1.08016,1.08014,1.08014,13
2024-06-07T17:32:00.000000000Z,1.08014,1.08016,1.08010,1.08014,15
2024-06-07T17:32:30.000000000Z,1.08014,1.08014,1.08013,1.08014,17
2024-06-07T17:33:00.000000000Z,1.08014,1.08017,1.08013,1.08014,17
2024-06-07T17:33:30.000000000Z,1.08013,1.08014,1.08009,1.08011,23
2024-06-07T17:34:00.000000000Z,1.08013,1.08014,1.08012,1.08013,13
2024-06-07T17:34:30.000000000Z,1.08012,1.08013,1.08012,1.08012,3
2024-06-07T17:35:00.000000000Z,1.08013,1.08019,1.08013,1.08019,23
2024-06-07T17:35:30.000000000Z,1.08018,1.08019,1.08016,1.08018,5
2024-06-07T17:36:00.000000000Z,1.08019,1.08024,1.08016,1.08016,34
2024-06-07T17:36:30.000000000Z,1.08016,1.08020,1.08016,1.08016,22
2024-06-07T17:37:00.000000000Z,1.08018,1.08018,1.08013,1.08014,8
2024-06-07T17:37:30.000000000Z,1.08016,1.08020,1.08014,1.08018,12
2024-06-07T17:38:00.000000000Z,1.08019,1.08019,1.08014,1.08014,7
2024-06-07T17:38:30.000000000Z,1.08014,1.08017,1.08013,1.08016,12
2024-06-07T17:39:00.000000000Z,1.08017,1.08024,1.08016,1.08023,23
2024-06-07T17:39:30.000000000Z,1.08022,1.08024,1.08022,1.08024,20
2024-06-07T17:40:00.000000000Z,1.08026,1.08028,1.08018,1.08020,31
2024-06-07T17:40:30.000000000Z,1.08022,1.08022,1.08019,1.08019,14
2024-06-07T17:41:00.000000000Z,1.08018,1.08020,1.08016,1.08020,33
2024-06-07T17:41:30.000000000Z,1.08020,1.08020,1.08018,1.08018,15
2024-06-07T17:42:00.000000000Z,1.08019,1.08019,1.08014,1.08018,15
2024-06-07T17:43:00.000000000Z,1.08016,1.08016,1.08014,1.08016,18
2024-06-07T17:43:30.000000000Z,1.08014,1.08016,1.08014,1.08016,14
2024-06-07T17:44:00.000000000Z,1.08018,1.08020,1.08014,1.08014,16
2024-06-07T17:44:30.000000000Z,1.08016,1.08016,1.08014,1.08016,14
2024-06-07T17:45:00.000000000Z,1.08016,1.08021,1.08016,1.08016,34
2024-06-07T17:45:30.000000000Z,1.08019,1.08019,1.08018,1.08019,7
2024-06-07T17:46:00.000000000Z,1.08020,1.08020,1.08019,1.08020,9
2024-06-07T17:46:30.000000000Z,1.08020,1.08024,1.08019,1.08024,10
2024-06-07T17:47:00.000000000Z,1.08023,1.08024,1.08023,1.08024,30
2024-06-07T17:47:30.000000000Z,1.08024,1.08025,1.08024,1.08025,24
2024-06-07T17:48:00.000000000Z,1.08022,1.08024,1.08018,1.08020,12
2024-06-07T17:48:30.000000000Z,1.08020,1.08022,1.08020,1.08021,13
2024-06-07T17:49:00.000000000Z,1.08023,1.08024,1.08020,1.08024,28
2024-06-07T17:49:30.000000000Z,1.08024,1.08025,1.08024,1.08024,13
2024-06-07T17:50:00.000000000Z,1.08024,1.08027,1.08024,1.08024,19
2024-06-07T17:50:30.000000000Z,1.08025,1.08026,1.08024,1.08024,21
2024-06-07T17:51:00.000000000Z,1.08024,1.08031,1.08024,1.08031,24
2024-06-07T17:51:30.000000000Z,1.08030,1.08043,1.08030,1.08042,26
2024-06-07T17:52:00.000000000Z,1.08044,1.08050,1.08043,1.08046,23
2024-06-07T17:52:30.000000000Z,1.08046,1.08052,1.08045,1.08052,20
2024-06-07T17:53:00.000000000Z,1.08054,1.08063,1.08054,1.08058,37
2024-06-07T17:53:30.000000000Z,1.08060,1.08062,1.08058,1.08059,15
2024-06-07T17:54:00.000000000Z,1.08056,1.08057,1.08046,1.08048,33
2024-06-07T17:54:30.000000000Z,1.08046,1.08047,1.08038,1.08040,34
2024-06-07T17:55:00.000000000Z,1.08042,1.08048,1.08041,1.08044,23
2024-06-07T17:55:30.000000000Z,1.08045,1.08050,1.08044,1.08049,13
2024-06-07T17:56:00.000000000Z,1.08050,1.08050,1.08044,1.08048,26
2024-06-07T17:56:30.000000000Z,1.08046,1.08048,1.08044,1.08044,34
2024-06-07T17:57:00.000000000Z,1.08046,1.08050,1.08044,1.08050,38
2024-06-07T17:57:30.000000000Z,1.08050,1.08054,1.08048,1.08050,29
2024-06-07T17:58:00.000000000Z,1.08051,1.08058,1.08050,1.08055,32
2024-06-07T17:58:30.000000000Z,1.08056,1.08056,1.08054,1.08055,34
2024-06-07T17:59:00.000000000Z,1.08057,1.08057,1.08055,1.08055,4
2024-06-07T17:59:30.000000000Z,1.08054,1.08054,1.08050,1.08052,16
2024-06-07T18:00:00.000000000Z,1.08052,1.08052,1.08040,1.08041,43
2024-06-07T18:00:30.000000000Z,1.08042,1.08042,1.08040,1.08041,21
2024-06-07T18:01:00.000000000Z,1.08038,1.08045,1.08030,1.08045,41
2024-06-07T18:01:30.000000000Z,1.08044,1.08047,1.08044,1.08047,35
2024-06-07T18:02:00.000000000Z,1.08046,1.08048,1.08044,1.08047,37
2024-06-07T18:02:30.000000000Z,1.08044,1.08047,1.08044,1.08046,22
2024-06-07T18:03:00.000000000Z,1.08046,1.08047,1.08040,1.08046,19
2024-06-07T18:03:30.000000000Z,1.08046,1.08046,1.08030,1.08032,29
2024-06-07T18:04:00.000000000Z,1.08030,1.08034,1.08024,1.08030,46
2024-06-07T18:04:30.000000000Z,1.08032,1.08032,1.08026,1.08030,44
2024-06-07T18:05:00.000000000Z,1.08027,1.08028,1.08020,1.08020,41
2024-06-07T18:05:30.000000000Z,1.08020,1.08022,1.08017,1.08022,42
