time,open,high,low,close,volume
2024-06-18T10:50:00.000000000Z,0.66188,0.66198,0.66175,0.66175,99
2024-06-18T10:55:00.000000000Z,0.66176,0.66182,0.66173,0.66178,109
2024-06-18T11:00:00.000000000Z,0.66178,0.66188,0.66152,0.66154,204
2024-06-18T11:05:00.000000000Z,0.66154,0.66164,0.66149,0.66158,96
2024-06-18T11:10:00.000000000Z,0.66156,0.66170,0.66152,0.66167,75
2024-06-18T11:15:00.000000000Z,0.66166,0.66174,0.66159,0.66165,107
2024-06-18T11:20:00.000000000Z,0.66165,0.66167,0.66134,0.66145,124
2024-06-18T11:25:00.000000000Z,0.66144,0.66152,0.66136,0.66140,114
2024-06-18T11:30:00.000000000Z,0.66138,0.66138,0.66127,0.66129,90
2024-06-18T11:35:00.000000000Z,0.66128,0.66129,0.66108,0.66113,170
2024-06-18T11:40:00.000000000Z,0.66116,0.66120,0.66107,0.66112,121
2024-06-18T11:45:00.000000000Z,0.66115,0.66121,0.66108,0.66120,43
2024-06-18T11:50:00.000000000Z,0.66118,0.66126,0.66103,0.66106,132
2024-06-18T11:55:00.000000000Z,0.66110,0.66122,0.66106,0.66112,100
2024-06-18T12:00:00.000000000Z,0.66112,0.66113,0.66092,0.66112,171
2024-06-18T12:05:00.000000000Z,0.66114,0.66123,0.66108,0.66112,101
2024-06-18T12:10:00.000000000Z,0.66112,0.66129,0.66108,0.66126,141
2024-06-18T12:15:00.000000000Z,0.66124,0.66144,0.66119,0.66134,139
2024-06-18T12:20:00.000000000Z,0.66134,0.66139,0.66115,0.66136,145
2024-06-18T12:25:00.000000000Z,0.66132,0.66135,0.66114,0.66124,102
2024-06-18T12:30:00.000000000Z,0.66124,0.66300,0.66124,0.66236,1026
2024-06-18T12:35:00.000000000Z,0.66237,0.66262,0.66218,0.66260,466
2024-06-18T12:40:00.000000000Z,0.66262,0.66291,0.66250,0.66282,425
2024-06-18T12:45:00.000000000Z,0.66282,0.66298,0.66252,0.66252,322
2024-06-18T12:50:00.000000000Z,0.66256,0.66266,0.66227,0.66230,242
2024-06-18T12:55:00.000000000Z,0.66227,0.66262,0.66227,0.66260,175
2024-06-18T13:00:00.000000000Z,0.66262,0.66294,0.66252,0.66292,271
2024-06-18T13:05:00.000000000Z,0.66292,0.66324,0.66282,0.66323,222
2024-06-18T13:10:00.000000000Z,0.66326,0.66365,0.66320,0.66351,255
2024-06-18T13:15:00.000000000Z,0.66347,0.66349,0.66314,0.66339,282
2024-06-18T13:20:00.000000000Z,0.66340,0.66340,0.66302,0.66310,179
2024-06-18T13:25:00.000000000Z,0.66306,0.66309,0.66286,0.66296,139
2024-06-18T13:30:00.000000000Z,0.66296,0.66334,0.66268,0.66274,253
2024-06-18T13:35:00.000000000Z,0.66274,0.66335,0.66274,0.66334,264
2024-06-18T13:40:00.000000000Z,0.66336,0.66414,0.66336,0.66414,214
2024-06-18T13:45:00.000000000Z,0.66418,0.66428,0.66392,0.66419,212
2024-06-18T13:50:00.000000000Z,0.66420,0.66456,0.66420,0.66438,175
2024-06-18T13:55:00.000000000Z,0.66440,0.66460,0.66436,0.66446,238
2024-06-18T14:00:00.000000000Z,0.66444,0.66466,0.66423,0.66466,177
2024-06-18T14:05:00.000000000Z,0.66462,0.66470,0.66430,0.66470,158
2024-06-18T14:10:00.000000000Z,0.66470,0.66478,0.66449,0.66455,197
2024-06-18T14:15:00.000000000Z,0.66454,0.66503,0.66449,0.66501,285
2024-06-18T14:20:00.000000000Z,0.66500,0.66534,0.66494,0.66532,202
